imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime
tt2911666,John Wick,"Action, Crime, Thriller",action,7.5,68,773731,2014,10,6060
tt2015381,Guardians of the Galaxy,"Action, Adventure, Comedy",action,8.0,76,1309969,2014,8,7260
tt0455944,The Equalizer,"Action, Crime, Thriller",action,7.3,57,441866,2014,9,7920
tt2802144,Kingsman: The Secret Service,"Action, Adventure, Comedy",action,7.7,60,747824,2014,1,7740
tt1631867,Edge of Tomorrow,"Action, Adventure, Sci-Fi",action,7.9,71,767524,2014,6,6780
tt2713180,Fury,"Action, Drama, War",action,7.6,64,574026,2014,10,8040
tt1587310,Maleficent,"Action, Adventure, Drama",action,6.9,56,411292,2014,5,5820
tt1840309,Divergent,"Action, Adventure, Drama",action,6.6,48,503035,2014,3,8340
tt1843866,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",action,7.7,70,928378,2014,4,8160
tt1790864,The Maze Runner,"Action, Mystery, Sci-Fi",action,6.8,57,532043,2014,9,6780
tt2179136,American Sniper,"Action, Biography, Drama",action,7.3,73,547411,2014,1,7980
tt2397535,Predestination,"Action, Drama, Sci-Fi",action,7.4,69,319956,2014,8,5820
tt2245084,Big Hero 6,"Animation, Action, Adventure",action,7.8,74,524976,2014,11,6120
tt1291150,Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",action,5.8,31,224749,2014,8,6060
tt1872181,The Amazing Spider-Man 2,"Action, Adventure, Sci-Fi",action,6.6,53,559612,2014,5,8520
tt2980592,The Guest,"Action, Mystery, Thriller",action,6.7,76,111039,2014,9,6000
tt1877832,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",action,7.9,75,766882,2014,5,7920
tt1490017,The Lego Movie,"Animation, Action, Adventure",action,7.7,83,399755,2014,2,6000
tt2109248,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",action,5.6,32,339487,2014,6,9900
tt1234721,RoboCop,"Action, Crime, Sci-Fi",action,6.1,52,243817,2014,2,7020
tt0831387,Godzilla,"Action, Adventure, Sci-Fi",action,6.4,62,452455,2014,5,7380
tt2872732,Lucy,"Action, Sci-Fi, Thriller",action,6.4,62,553610,2014,7,5340
tt1951265,The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi",action,6.6,64,520824,2014,11,7380
tt1646971,How to Train Your Dragon 2,"Animation, Action, Adventure",action,7.8,77,378725,2014,6,6120
tt0458481,Sin City: A Dame to Kill For,"Action, Crime, Thriller",action,6.5,46,174097,2014,8,6120
tt2294449,22 Jump Street,"Action, Comedy, Crime",action,7.0,71,420567,2014,6,6720
tt3157224,We Still Kill the Old Way,"Action, Comedy, Crime",action,6.0,N/A,5245,2014,12,5640
tt1253863,300: Rise of an Empire,"Action, Drama",action,6.2,48,322504,2014,3,6120
tt2369135,Need for Speed,"Action, Crime, Drama",action,6.4,39,182148,2014,3,7920
tt2103281,Dawn of the Planet of the Apes,"Action, Adventure, Drama",action,7.6,79,498214,2014,7,7800
tt1959490,Noah,"Action, Adventure, Drama",action,5.8,68,270943,2014,3,8280
tt1528100,Exodus: Gods and Kings,"Action, Adventure, Drama",action,6.0,52,182774,2014,12,9000
tt1921064,Pompeii,"Action, Adventure, Drama",action,5.5,41,119579,2014,2,6300
tt0829150,Dracula Untold,"Action, Drama, Fantasy",action,6.2,40,215060,2014,10,5520
tt2333784,The Expendables 3,"Action, Adventure, Comedy",action,6.1,35,200697,2014,8,7560
tt1267297,Hercules,"Action, Adventure, Fantasy",action,6.0,47,167737,2014,7,5880
tt2452200,Son of a Gun,"Action, Crime, Drama",action,6.4,49,30219,2014,10,6480
tt2788710,The Interview,"Action, Adventure, Comedy",action,6.5,52,365490,2014,12,6720
tt2265171,Serbuan maut 2: Berandal,"Action, Crime, Thriller",action,7.9,71,134863,2014,3,9000
tt1911658,Penguins of Madagascar,"Animation, Action, Adventure",action,6.6,53,108041,2014,11,5520
tt2024469,Non-Stop,"Action, Mystery, Thriller",action,6.9,56,281564,2014,2,6360
tt1686821,Vampire Academy,"Action, Comedy, Drama",action,5.4,31,57728,2014,2,6240
tt0365907,A Walk Among the Tombstones,"Action, Crime, Drama",action,6.5,57,129531,2014,9,6840
tt2446042,Taken 3,"Action, Thriller",action,6.0,26,209468,2014,1,6480
tt1205537,Jack Ryan: Shadow Recruit,"Action, Drama, Thriller",action,6.2,57,140301,2014,1,6300
tt2614684,'71,"Action, Crime, Drama",action,7.2,83,63021,2014,10,5940
tt2467046,Left Behind,"Action, Fantasy, Sci-Fi",action,3.1,12,43514,2014,10,6600
tt2345737,The Rover,"Action, Crime, Drama",action,6.4,64,52776,2014,6,6180
tt1121096,Seventh Son,"Action, Adventure, Fantasy",action,5.5,30,81902,2014,1,6120
tt2975578,The Purge: Anarchy,"Action, Horror, Sci-Fi",action,6.4,50,167411,2014,7,6180
tt0816692,Interstellar,"Adventure, Drama, Sci-Fi",adventure,8.7,74,2311911,2014,11,10140
tt2278388,The Grand Budapest Hotel,"Adventure, Comedy, Crime",adventure,8.1,88,920668,2014,3,5940
tt1109624,Paddington,"Adventure, Comedy, Family",adventure,7.3,77,145451,2014,11,5700
tt2310332,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",adventure,7.4,59,593495,2014,12,8640
tt2883512,Chef,"Adventure, Comedy, Drama",adventure,7.3,68,240827,2014,5,6840
tt2180411,Into the Woods,"Adventure, Comedy, Drama",adventure,5.9,69,150605,2014,12,7500
tt2305051,Wild,"Adventure, Biography, Drama",adventure,7.1,74,142555,2014,12,6900
tt2262227,The Book of Life,"Animation, Adventure, Comedy",adventure,7.2,67,80713,2014,10,5700
tt2692250,Night at the Museum: Secret of the Tomb,"Adventure, Comedy, Family",adventure,6.2,47,141413,2014,12,5880
tt2357291,Rio 2,"Animation, Adventure, Comedy",adventure,6.3,49,105562,2014,4,6060
tt0864835,Mr. Peabody & Sherman,"Animation, Adventure, Comedy",adventure,6.7,59,80736,2014,2,5520
tt1224378,Viy,"Adventure, Fantasy, Mystery",adventure,5.2,N/A,6790,2014,1,7800
tt1865505,Song of the Sea,"Animation, Adventure, Drama",adventure,8.0,85,65356,2014,12,5580
tt2106361,Into the Storm,"Action, Adventure, Drama",adventure,5.8,44,72988,2014,8,5340
tt2261331,Black Sea,"Adventure, Drama, Thriller",adventure,6.4,62,42128,2014,12,6840
tt1043726,The Legend of Hercules,"Action, Adventure, Fantasy",adventure,4.3,22,56989,2014,1,5940
tt2944198,Backcountry,"Adventure, Drama, Horror",adventure,6.0,62,25716,2014,8,5520
tt2402157,The November Man,"Action, Adventure, Crime",adventure,6.3,38,71778,2014,8,6480
tt2281587,Muppets Most Wanted,"Adventure, Comedy, Crime",adventure,6.4,61,38040,2014,3,6420
tt0787474,The Boxtrolls,"Animation, Adventure, Comedy",adventure,6.8,61,63044,2014,9,5760
tt3138104,The Hungover Games,"Adventure, Comedy, Fantasy",adventure,3.5,N/A,17474,2014,2,5100
tt2295722,Falcon Rising,"Action, Adventure",adventure,5.8,49,9566,2014,9,6180
tt1361318,Good People,"Action, Adventure, Crime",adventure,5.5,42,17600,2014,8,5400
tt2980706,Planes: Fire & Rescue,"Animation, Adventure, Comedy",adventure,5.9,48,20659,2014,7,4980
tt3858372,Mune: Le Gardien de la Lune,"Animation, Adventure, Comedy",adventure,7.1,N/A,8411,2014,10,5100
tt3253930,La isla mínima,"Action, Adventure, Crime",adventure,7.2,N/A,37478,2014,9,6300
tt3398268,Omoide no Mânî,"Animation, Drama, Family",animation,7.6,72,51281,2014,7,6180
tt1821658,The Nut Job,"Animation, Adventure, Comedy",animation,5.7,37,31134,2014,1,5100
tt3638012,Appleseed Alpha,"Animation, Action, Adventure",animation,6.5,N/A,9335,2014,7,5580
tt3759416,Astérix : Le domaine des dieux,"Animation, Adventure, Comedy",animation,6.9,N/A,16004,2014,11,5100
tt3139072,Son of Batman,"Animation, Action, Adventure",animation,6.7,N/A,32400,2014,4,4440
tt3717532,The Last: Naruto the Movie,"Animation, Action, Adventure",animation,7.6,N/A,18844,2014,12,6720
tt3885932,Winx Club: Il mistero degli abissi,"Animation, Action, Adventure",animation,5.6,N/A,939,2014,9,4980
tt3331846,Stand by Me Doraemon,"Animation, Comedy, Drama",animation,7.3,N/A,10062,2014,8,5700
tt2062622,Postman Pat: The Movie,"Animation, Comedy, Family",animation,4.7,44,2025,2014,5,5280
tt0498351,The Hero of Color City,"Animation, Adventure, Family",animation,3.9,33,777,2014,7,4620
tt3646944,Gekijouban Shingeki no kyojin Zenpen: Guren no yumiya,"Animation, Action, Adventure",animation,7.6,N/A,4112,2014,11,7140
tt2006753,Heavenly Sword,"Animation, Action, Adventure",animation,5.3,N/A,2249,2014,,5100
tt2378401,Meet the Patels,"Documentary, Animation, Comedy",animation,7.1,70,3602,2014,9,5280
tt3477554,Snezhnaya Koroleva 2: Perezamorozka,"Animation, Adventure, Comedy",animation,5.8,N/A,2572,2014,1,4860
tt3455204,Meitantei Conan: Ijigen no sunaipâ,"Animation, Action, Adventure",animation,6.7,N/A,1822,2014,4,6600
tt3871940,Eiga Kureyon Shinchan: Gachinko! Gyakushuu no Robotôchan,"Animation, Adventure, Comedy",animation,7.2,N/A,621,2014,4,5820
tt6417868,Chhota Bheem Aur Mayavi Gorgan,"Animation, Action, Adventure",animation,6.4,N/A,142,2014,,3900
tt1640718,The Prophet,"Animation, Drama",animation,7.0,61,5161,2014,8,5100
tt5714216,Black Butler: Book of Murder,"Animation, Adventure, Crime",animation,7.9,N/A,1438,2014,10,6960
tt3246908,The Boxcar Children,"Animation, Adventure, Family",animation,6.5,N/A,651,2014,4,5160
tt6442758,Chhota Bheem Paanch Ajoobe,"Animation, Action, Adventure",animation,6.2,N/A,126,2014,,4080
tt3830998,Lupin the IIIrd: Jigen Daisuke no Bohyô,"Animation, Action, Crime",animation,7.2,N/A,1089,2014,6,3060
tt3921852,Barbie and the Secret Door,"Animation, Family",animation,5.7,N/A,2157,2014,8,4860
