imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime
tt0145487,Spider-Man,"Action, Adventure, Sci-Fi",action,7.4,73,916198,2002,5,7260
tt0245844,The Count of Monte Cristo,"Action, Adventure, Drama",action,7.7,61,153999,2002,1,7860
tt0120804,Resident Evil,"Action, Horror, Sci-Fi",action,6.6,35,297865,2002,3,6000
tt0121765,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy",action,6.6,54,783694,2002,5,8520
tt0120912,Men in Black II,"Action, Adventure, Comedy",action,6.2,49,416623,2002,7,5280
tt0181689,Minority Report,"Action, Crime, Mystery",action,7.6,80,599798,2002,6,8700
tt0258463,The Bourne Identity,"Action, Mystery, Thriller",action,7.8,68,592228,2002,6,7140
tt0164184,The Sum of All Fears,"Action, Drama, Thriller",action,6.5,45,127836,2002,5,7440
tt0246460,Die Another Day,"Action, Adventure, Thriller",action,6.1,56,233822,2002,11,7980
tt0295178,Austin Powers in Goldmember,"Action, Adventure, Comedy",action,6.2,62,228073,2002,7,5640
tt0238380,Equilibrium,"Action, Drama, Sci-Fi",action,7.3,33,354121,2002,12,6420
tt0295701,xXx,"Action, Adventure, Drama",action,5.8,48,189645,2002,8,7440
tt0253556,Reign of Fire,"Action, Adventure, Fantasy",action,6.2,39,148769,2002,7,6060
tt0293662,The Transporter,"Action, Crime, Thriller",action,6.8,51,328844,2002,10,5520
tt0268695,The Time Machine,"Action, Adventure, Sci-Fi",action,6.0,42,132942,2002,3,5760
tt0277434,We Were Soldiers,"Action, Drama, History",action,7.2,65,155098,2002,3,8280
tt0187738,Blade II,"Action, Horror, Sci-Fi",action,6.7,52,243541,2002,3,7020
tt0277296,The Scorpion King,"Action, Adventure, Fantasy",action,5.5,45,148523,2002,4,5520
tt0271367,Eight Legged Freaks,"Action, Adventure, Comedy",action,5.5,53,61588,2002,7,5940
tt0299977,Ying xiong,"Action, Adventure, Drama",action,7.9,85,190317,2002,12,6420
tt0280609,Dog Soldiers,"Action, Horror, Thriller",action,6.8,N/A,68240,2002,5,6300
tt0287717,Spy Kids 2: Island of Lost Dreams,"Action, Adventure, Comedy",action,5.3,66,76019,2002,8,6000
tt0259484,Paid in Full,"Action, Crime, Drama",action,7.0,49,14960,2002,10,5820
tt0253754,Star Trek: Nemesis,"Action, Adventure, Sci-Fi",action,6.4,51,85642,2002,12,6960
tt0240468,Kung Pow: Enter the Fist,"Action, Comedy",action,6.2,14,49521,2002,1,4860
tt0281322,Undisputed,"Action, Crime, Drama",action,6.1,58,35453,2002,8,5760
tt0231448,Deuces Wild,"Action, Drama",action,5.6,16,8024,2002,5,5760
tt0290095,The Tuxedo,"Action, Comedy, Sci-Fi",action,5.4,30,90710,2002,9,5880
tt0245562,Windtalkers,"Action, Drama, War",action,6.1,51,75218,2002,6,8040
tt0279493,Undercover Brother,"Action, Comedy",action,5.9,69,36938,2002,5,5160
tt0246894,Rollerball,"Action, Sci-Fi, Sport",action,3.1,14,30267,2002,2,5880
tt0322802,Jackass: The Movie,"Documentary, Action, Comedy",action,6.6,42,104095,2002,10,5100
tt0180052,The Adventures of Pluto Nash,"Action, Comedy, Sci-Fi",action,3.9,12,27658,2002,8,5700
tt0309377,Blood Work,"Action, Crime, Drama",action,6.4,64,49220,2002,8,6600
tt0297181,I Spy,"Action, Adventure, Comedy",action,5.4,35,54321,2002,11,5820
