imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime
tt0320661,Kingdom of Heaven,"Action, Adventure, Drama",action,7.3,63,330994,2005,5,8640
tt0372784,Batman Begins,"Action, Drama",action,8.2,70,1635849,2005,6,8400
tt0121766,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",action,7.6,68,873445,2005,5,8400
tt0360486,Constantine,"Action, Fantasy, Horror",action,7.0,50,389598,2005,2,7260
tt0120667,Fantastic Four,"Action, Adventure, Fantasy",action,5.7,40,354162,2005,7,6360
tt0434409,V for Vendetta,"Action, Drama, Sci-Fi",action,8.1,62,1209626,2005,3,7920
tt0407304,War of the Worlds,"Action, Adventure, Sci-Fi",action,6.5,73,487969,2005,7,7020
tt0360717,King Kong,"Action, Adventure, Romance",action,7.2,81,457466,2005,12,11220
tt0399146,A History of Violence,"Action, Crime, Drama",action,7.4,82,262849,2005,9,5760
tt0379786,Serenity,"Action, Adventure, Sci-Fi",action,7.8,74,309936,2005,9,7140
tt0399201,The Island,"Action, Sci-Fi, Thriller",action,6.8,50,333422,2005,7,8160
tt0356910,Mr. & Mrs. Smith,"Action, Comedy, Crime",action,6.5,55,563774,2005,6,7200
tt0405325,Sky High,"Action, Comedy, Family",action,6.3,62,97457,2005,7,6000
tt0318649,Sahara,"Action, Adventure, Comedy",action,6.1,41,106184,2005,4,7440
tt0357277,Elektra,"Action, Adventure, Crime",action,4.7,34,101473,2005,1,5820
tt0388482,Transporter 2,"Action, Thriller",action,6.3,56,220328,2005,8,5220
tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,"Action, Adventure, Comedy",action,3.8,38,44243,2005,6,5580
tt0402022,Æon Flux,"Action, Adventure, Sci-Fi",action,5.4,36,134736,2005,12,5580
tt0419706,Doom,"Action, Horror, Sci-Fi",action,5.2,34,121046,2005,10,6300
tt0355295,The Brothers Grimm,"Action, Adventure, Comedy",action,5.9,51,128472,2005,8,7080
tt0395699,The Pacifier,"Action, Comedy, Drama",action,5.6,30,103499,2005,3,5700
tt0406375,Zathura: A Space Adventure,"Action, Adventure, Comedy",action,6.3,67,119956,2005,11,6060
tt0378109,Into the Blue,"Action, Adventure, Crime",action,5.9,45,81397,2005,9,6600
tt0365686,Revolver,"Action, Crime, Drama",action,6.3,25,105660,2005,9,6660
tt0430105,Four Brothers,"Action, Crime, Drama",action,6.8,49,163409,2005,7,6540
tt0421054,Domino,"Action, Biography, Crime",action,5.9,37,70363,2005,10,7620
tt0456912,Dalkomhan insaeng,"Action, Crime, Drama",action,7.5,N/A,44585,2005,4,7140
tt0386140,The Legend of Zorro,"Action, Adventure, Romance",action,6.0,47,110647,2005,10,7740
tt0403016,Supercross,"Action, Drama, Romance",action,4.4,26,4949,2005,8,4800
tt0385307,Miss Congeniality 2: Armed and Fabulous,"Action, Comedy, Crime",action,5.2,34,82222,2005,3,6900
tt0426459,Feast,"Action, Comedy, Horror",action,6.2,43,34906,2005,1,5700
tt0383222,BloodRayne,"Action, Fantasy, Horror",action,3.0,18,37798,2005,1,5700
tt0402910,Chaos,"Action, Crime, Drama",action,6.4,N/A,59164,2005,12,6360
tt0340163,Hostage,"Action, Crime, Drama",action,6.5,44,114630,2005,3,6780
tt0342258,Unleashed,"Action, Crime, Thriller",action,7.0,58,109801,2005,2,6180
tt0433387,Harsh Times,"Action, Crime, Drama",action,6.8,56,69574,2005,11,6960
tt0318081,A Sound of Thunder,"Action, Adventure, Horror",action,4.2,24,21133,2005,9,6600
tt0382992,Stealth,"Action, Adventure, Sci-Fi",action,5.1,35,57305,2005,7,7260
tt0398712,Assault on Precinct 13,"Action, Crime, Drama",action,6.3,54,83025,2005,1,6540
tt0427954,Tom yum goong,"Action, Crime, Drama",action,7.0,52,39734,2005,8,6660
tt0385700,Fainaru fantajî sebun adobento chirudoren,"Animation, Action, Adventure",action,7.1,N/A,58875,2005,9,6060
tt0369226,Alone in the Dark,"Action, Horror, Sci-Fi",action,2.4,9,47692,2005,1,5940
tt0402057,Beowulf & Grendel,"Action, Adventure, Drama",action,5.8,53,18873,2005,3,6240
tt0499041,Kalyug,"Action, Crime, Drama",action,6.5,N/A,3358,2005,12,7560
tt0329774,xXx: State of the Union,"Action, Adventure, Crime",action,4.5,37,74978,2005,4,6060
tt0353324,The Crow: Wicked Prayer,"Action, Adventure, Comedy",action,3.0,N/A,10212,2005,9,5940
tt0326905,The Great Raid,"Action, Drama, War",action,6.6,48,24324,2005,8,7920
tt0290747,Man-Thing,"Action, Adventure, Horror",action,4.1,N/A,7289,2005,4,6360
tt0399327,The Man,"Action, Comedy, Crime",action,5.5,33,27096,2005,9,4980
tt0389957,Edison,"Action, Crime, Drama",action,5.3,N/A,16608,2005,7,5940
tt0330373,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",adventure,7.7,81,712515,2005,11,9420
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy",adventure,6.9,75,441585,2005,12,8580
tt0367594,Charlie and the Chocolate Factory,"Adventure, Comedy, Family",adventure,6.7,72,548023,2005,7,6900
tt0435625,The Descent,"Adventure, Horror, Thriller",adventure,7.2,71,258491,2005,7,5940
tt0351283,Madagascar,"Animation, Adventure, Comedy",adventure,6.9,57,455358,2005,5,5160
tt0371724,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Sci-Fi",adventure,6.7,63,212077,2005,4,6540
tt0358082,Robots,"Animation, Adventure, Comedy",adventure,6.4,64,167954,2005,10,5460
tt0312004,The Curse of the Were-Rabbit,"Animation, Adventure, Comedy",adventure,7.5,87,152593,2005,10,5100
tt0443536,Hoodwinked!,"Animation, Adventure, Comedy",adventure,6.5,45,68598,2005,1,4800
tt0371606,Chicken Little,"Animation, Adventure, Comedy",adventure,5.7,48,104388,2005,10,4860
tt0452598,Cheaper by the Dozen 2,"Adventure, Comedy, Family",adventure,5.5,34,64491,2005,12,5640
tt0402894,Casanova,"Adventure, Comedy, Drama",adventure,6.5,57,57144,2005,1,6720
tt0402901,The Cave,"Adventure, Horror, Sci-Fi",adventure,5.2,30,42676,2005,8,5820
tt0400497,Herbie: Fully Loaded,"Adventure, Comedy, Family",adventure,4.9,47,52279,2005,6,6060
tt0368578,Are We There Yet?,"Adventure, Comedy, Family",adventure,4.8,27,35543,2005,1,5700
tt0407265,Transamerica,"Adventure, Comedy, Drama",adventure,7.3,66,42833,2005,3,6180
tt0419294,The Three Burials of Melquiades Estrada,"Adventure, Crime, Drama",adventure,7.3,77,42465,2005,11,7260
tt0361089,Valiant,"Animation, Adventure, Comedy",adventure,5.5,45,25061,2005,8,4560
tt0376105,Racing Stripes,"Adventure, Comedy, Drama",adventure,5.2,43,18685,2005,1,6120
tt0409011,Love Wrecked,"Adventure, Comedy, Romance",adventure,4.8,N/A,15833,2005,6,5220
tt0361715,Duma,"Adventure, Drama, Family",adventure,7.1,82,8807,2005,5,6000
tt0485323,Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono,"Animation, Action, Adventure",adventure,7.3,N/A,12449,2005,7,6300
tt0365847,San wa,"Action, Adventure, Comedy",adventure,6.1,N/A,16769,2005,5,7320
tt0397103,Smile,"Adventure, Drama",adventure,6.2,47,1056,2005,4,6420
tt0791188,Gekijô-ban Naruto: Daigekitotsu! Maboroshi no chitei iseki dattebayo!,"Animation, Adventure, Comedy",adventure,6.4,N/A,5519,2005,8,5820
tt0407121,Pooh's Heffalump Movie,"Animation, Adventure, Comedy",adventure,6.4,64,8840,2005,2,4080
tt0489015,Dangerous Men,"Action, Adventure, Crime",adventure,4.1,32,778,2005,9,4800
tt0388377,River Queen,"Action, Adventure, Drama",adventure,5.9,N/A,2779,2005,1,6840
tt0488763,Muyeong geom,"Action, Adventure, History",adventure,6.4,N/A,2997,2005,11,7020
tt0121164,Corpse Bride,"Animation, Comedy, Drama",animation,7.4,83,312081,2005,9,4620
tt0407236,Sílení,"Animation, Comedy, Drama",animation,7.1,63,4057,2005,11,7080
tt2643846,Kureyon Shinchan: Densetsu o Yobu Buriburi: Sanpun Bokkiri Daishingeki,"Animation, Comedy",animation,5.4,N/A,178,2005,4,5520
tt0875609,Gekijôban Poketto Monsutâ Adobansu Jenerêshon: Myû to hadô no yûsha Rukario,"Animation, Action, Adventure",animation,6.8,N/A,5501,2005,7,6180
tt0830199,Romeo & Juliet: Sealed with a Kiss,"Animation, Comedy, Drama",animation,3.7,N/A,482,2005,5,4560
tt0455142,Kirikou et les bêtes sauvages,"Animation, Adventure, Family",animation,6.6,76,1856,2005,12,4500
tt0972542,Aachi & Ssipak,"Animation, Action, Comedy",animation,6.7,N/A,1896,2005,6,5400
tt0424958,Disaster!,"Animation, Comedy, Sci-Fi",animation,4.9,N/A,1422,2005,11,4980
tt1133936,Meitantei Conan: Suiheisenjô no Sutoratêji,"Animation, Action, Adventure",animation,7.0,N/A,2215,2005,4,6480
tt1018764,One piece: Omatsuri danshaku to himitsu no shima,"Animation, Action, Adventure",animation,7.2,N/A,3502,2005,3,5280
tt0466405,Gekijôban XXXHolic Manatsu no yoru no yume,"Animation, Comedy, Drama",animation,7.1,N/A,765,2005,8,3600
tt5252440,Hot Wheels Acceleracers the Ultimate Race,"Animation, Action, Sci-Fi",animation,8.0,N/A,449,2005,10,3600
tt0267024,Thru the Moebius Strip,"Animation, Adventure, Sci-Fi",animation,5.1,N/A,614,2005,,5220
tt0498465,Arashi no yoru ni,"Animation, Adventure, Drama",animation,6.9,N/A,1351,2005,12,6600
tt2333658,Little Einsteins: Our Big Huge Adventure,"Animation, Adventure, Family",animation,6.4,N/A,109,2005,8,3660
tt0372238,Dinotopia: Quest for the Ruby Sunstone,"Animation, Adventure, Comedy",animation,5.2,N/A,552,2005,5,4500
tt0488836,Hanuman,Animation,animation,8.0,N/A,2059,2005,10,5340
tt0473435,Ark,"Animation, Action, Drama",animation,5.9,N/A,626,2005,6,5040
tt0443123,El sueño de una noche de San Juan,"Animation, Drama, Romance",animation,4.6,N/A,434,2005,7,5100
tt0401559,Der kleine Eisbär 2: Die geheimnisvolle Insel,"Animation, Adventure, Drama",animation,5.7,N/A,297,2005,9,4800
tt0436710,Le roman de Renart,"Animation, Family",animation,4.9,N/A,279,2005,8,5400
tt0824696,Una película de huevos,"Animation, Comedy, Family",animation,6.5,N/A,1521,2005,4,5400
tt0929265,"Loranga, Masarin & Dartanjang","Animation, Family",animation,6.9,N/A,397,2005,10,3120
tt0496595,Xuxinha e Guto Contra os Monstros do Espaço,"Animation, Family, Musical",animation,2.7,N/A,744,2005,12,5100
tt6420500,Warrior Princess,Animation,animation,9.0,N/A,51,2005,,4020
tt0298903,Heidi,"Animation, Comedy, Family",animation,6.2,N/A,119,2005,12,4800
tt0443769,Piratas en el Callao,"Animation, Adventure, Family",animation,3.7,N/A,173,2005,8,4680
tt5230508,AMV Hell 3: The Motion Picture,"Animation, Comedy",animation,7.5,N/A,41,2005,9,4080
tt0493440,Pettson & Findus - Tomtemaskinen,"Animation, Comedy, Family",animation,6.4,N/A,431,2005,11,4740
tt0468812,Kidô senshi Z Gandamu II: Koibito tachi,"Animation, Action, Drama",animation,6.5,N/A,275,2005,10,5880
tt0454883,Lost and Found,"Animation, Drama",animation,6.5,N/A,262,2005,1,5940
tt0444629,Felix - Ein Hase auf Weltreise,"Family, Animation",animation,4.7,N/A,132,2005,2,4860
tt0399085,Geppetto's Secret,Animation,animation,6.2,N/A,49,2005,N/A,N/A
tt0486728,De tre musketerer,Animation,animation,6.1,N/A,106,2005,7,4200
tt0451769,Imaginum,"Animation, Family, Fantasy",animation,4.3,N/A,181,2005,8,4920
tt0327660,Lung do kei yuen,"Animation, Action, Adventure",animation,5.1,N/A,505,2005,1,5100
tt1415872,Dejitaru monsuta no X-shinka,"Animation, Action, Sci-Fi",animation,6.2,N/A,244,2005,1,4800
tt14128312,Deyueru masutazu: Yami no shiro no ma ryuko kasu obu za desufenikkusu,"Animation, Action, Fantasy",animation,7.1,N/A,11,2005,3,2760
tt1107334,Gekijô ban tenisu no ôji sama: Futari no samurai - The first game,"Animation, Sport",animation,5.9,N/A,142,2005,1,3900
tt0470745,Wanghu simcheong,"Animation, Drama, Fantasy",animation,7.0,N/A,32,2005,8,5580
tt0396269,Wedding Crashers,"Comedy, Romance",comedy,7.0,64,385376,2005,7,7140
tt0405422,The 40 Year Old Virgin,"Comedy, Romance",comedy,7.1,73,482862,2005,8,6960
tt0365885,The Upside of Anger,"Comedy, Drama",comedy,6.8,63,23581,2005,4,7080
tt0398165,The Longest Yard,"Comedy, Crime, Sport",comedy,6.4,48,202138,2005,5,6780
tt0412019,Broken Flowers,"Comedy, Drama, Mystery",comedy,7.1,79,108449,2005,8,6360
tt0396652,Ice Princess,"Comedy, Drama, Family",comedy,6.1,55,30180,2005,3,5880
tt0425123,Just Like Heaven,"Comedy, Drama, Fantasy",comedy,6.7,47,120442,2005,9,5700
tt0377818,The Dukes of Hazzard,Comedy,comedy,5.1,33,83119,2005,8,6240
tt0348333,Waiting...,Comedy,comedy,6.7,30,109119,2005,10,5640
tt0373469,Kiss Kiss Bang Bang,"Comedy, Crime, Mystery",comedy,7.5,73,242186,2005,11,6180
tt0267891,The Ringer,"Comedy, Sport",comedy,5.8,46,39631,2005,12,5640
tt0386588,Hitch,"Comedy, Romance",comedy,6.6,58,341520,2005,2,7080
tt0421994,Imagine Me & You,"Comedy, Drama, Romance",comedy,6.8,49,37547,2005,5,5400
tt0369441,Fun with Dick and Jane,"Comedy, Crime",comedy,6.2,47,158029,2005,12,5400
tt0403508,The Sisterhood of the Traveling Pants,"Comedy, Drama, Romance",comedy,6.5,66,66649,2005,6,7140
tt0372532,The Wedding Date,"Comedy, Romance",comedy,6.1,32,57618,2005,2,5400
tt0396752,Nanny McPhee,"Comedy, Family, Fantasy",comedy,6.6,59,88316,2005,10,5820
tt0377471,Be Cool,"Comedy, Crime, Music",comedy,5.6,37,73510,2005,3,7080
tt0433400,Just Friends,"Comedy, Romance",comedy,6.2,47,131427,2005,11,5760
tt0427944,Thank You for Smoking,"Comedy, Drama",comedy,7.5,71,232035,2005,4,5520
tt0395251,The Producers,"Comedy, Crime, Musical",comedy,6.4,52,45662,2005,3,8040
tt0398375,Rumor Has It...,"Comedy, Drama, Romance",comedy,5.5,35,63188,2005,12,5820
