imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime
tt0172495,Gladiator,"Action, Adventure, Drama",action,8.5,67,1743461,2000,5,9300
tt0120903,X-Men,"Action, Adventure, Sci-Fi",action,7.3,64,670096,2000,7,6240
tt0212346,Miss Congeniality,"Action, Comedy, Crime",action,6.3,43,238741,2000,12,6540
tt0160127,Charlie's Angels,"Action, Adventure, Comedy",action,5.6,52,201270,2000,11,5880
tt0187393,The Patriot,"Action, Drama, History",action,7.2,63,302532,2000,6,9900
tt0120755,Mission: Impossible II,"Action, Adventure, Thriller",action,6.1,59,389300,2000,5,7380
tt0187078,Gone in Sixty Seconds,"Action, Crime, Thriller",action,6.5,35,301954,2000,6,7080
tt0190332,Wo hu cang long,"Action, Adventure, Drama",action,7.9,94,287185,2000,7,7200
tt0141926,U-571,"Action, War",action,6.6,62,89543,2000,4,6960
tt0162650,Shaft,"Action, Crime, Thriller",action,6.0,50,82372,2000,6,5940
tt0164052,Hollow Man,"Action, Horror, Sci-Fi",action,5.9,24,141726,2000,8,6720
tt0208988,Get Carter,"Action, Crime, Drama",action,5.2,24,37798,2000,10,6120
tt0190374,Dungeons & Dragons,"Action, Adventure, Fantasy",action,3.7,14,37044,2000,12,6420
tt0190865,Vertical Limit,"Action, Adventure, Drama",action,6.0,48,66789,2000,12,7440
tt0177971,The Perfect Storm,"Action, Adventure, Drama",action,6.5,59,182931,2000,6,7800
tt0186566,Space Cowboys,"Action, Adventure, Thriller",action,6.5,73,88446,2000,10,7800
tt0185183,Battlefield Earth,"Action, Adventure, Sci-Fi",action,2.5,9,84367,2000,5,7020
tt0216651,Vampire Hunter D: Bloodlust,"Animation, Action, Drama",action,7.6,62,38045,2000,10,6180
tt0216216,The 6th Day,"Action, Mystery, Sci-Fi",action,5.9,49,130384,2000,11,7380
tt0199753,Red Planet,"Action, Sci-Fi, Thriller",action,5.7,34,60766,2000,11,6360
tt0120913,Titan A.E.,"Animation, Action, Adventure",action,6.6,48,65140,2000,6,5640
tt0184894,Shanghai Noon,"Action, Adventure, Comedy",action,6.6,77,138336,2000,5,6600
tt0219653,Dracula 2000,"Action, Fantasy, Horror",action,4.9,26,37611,2000,12,5940
tt0208003,Big Momma's House,"Action, Comedy, Crime",action,5.2,33,93002,2000,6,5940
tt0165929,Romeo Must Die,"Action, Crime, Thriller",action,6.1,52,75213,2000,3,6900
tt0192614,The Skulls,"Action, Crime, Drama",action,5.6,24,34345,2000,3,6360
tt0260991,Gongdong gyeongbi guyeok JSA,"Action, Drama, Thriller",action,7.7,58,36031,2000,9,6600
tt0184858,Reindeer Games,"Action, Crime, Thriller",action,5.8,37,43420,2000,2,6240
tt0202677,The Way of the Gun,"Action, Crime, Drama",action,6.6,49,35958,2000,9,7140
tt0132910,The Crow: Salvation,"Action, Crime, Fantasy",action,4.9,N/A,13305,2000,6,6120
tt0212879,Citizen Toxie: The Toxic Avenger IV,"Action, Comedy, Fantasy",action,5.9,41,6436,2000,8,6540
tt0190524,Left Behind,"Action, Drama, Fantasy",action,4.4,22,10855,2000,2,6000
tt0228750,Proof of Life,"Action, Drama, Thriller",action,6.3,45,59880,2000,12,8100
tt0119273,Heavy Metal 2000,"Animation, Action, Adventure",action,5.4,N/A,9714,2000,5,5280
tt0144964,Highlander: Endgame,"Action, Adventure, Fantasy",action,4.6,21,21681,2000,9,5220
tt0236027,Blinkende lygter,"Action, Comedy, Crime",action,7.5,47,25243,2000,11,6540
tt0191996,Essex Boys,"Action, Crime, Drama",action,6.0,N/A,4411,2000,7,6120
tt0814243,Kaisokuou ni ore wa naru,"Animation, Action, Adventure",action,6.9,N/A,9076,2000,3,3060
tt0160009,The Art of War,"Action, Adventure, Crime",action,5.7,30,31502,2000,8,7020
