imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime
tt3967856,Okja,"Action, Adventure, Drama",action,7.3,75,136476,2017,6,7200
tt1856101,Blade Runner 2049,"Action, Drama, Mystery",action,8.0,81,707250,2017,10,9840
tt3829920,Only the Brave,"Action, Biography, Drama",action,7.6,72,82356,2017,10,8040
tt3717490,Power Rangers,"Action, Adventure, Fantasy",action,5.9,44,116389,2017,3,7440
tt1469304,Baywatch,"Action, Comedy, Crime",action,5.5,37,210174,2017,5,6960
tt3890160,Baby Driver,"Action, Crime, Drama",action,7.5,86,645011,2017,6,6780
tt2283362,Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy",action,7.0,58,474636,2017,12,7140
tt2250912,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",action,7.4,73,751693,2017,7,7980
tt5013056,Dunkirk,"Action, Drama, History",action,7.8,94,768607,2017,7,6360
tt3532216,American Made,"Action, Comedy, Crime",action,7.1,65,218154,2017,9,6900
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",action,6.5,39,362842,2017,5,7740
tt2345759,The Mummy,"Action, Adventure, Fantasy",action,5.4,34,213269,2017,6,6660
tt3501632,Thor: Ragnarok,"Action, Adventure, Comedy",action,7.9,74,848994,2017,11,7800
tt1648190,The Dark Tower,"Action, Adventure, Fantasy",action,5.6,34,150285,2017,8,5700
tt4425200,John Wick: Chapter 2,"Action, Crime, Thriller",action,7.4,75,536137,2017,2,7320
tt3896198,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",action,7.6,67,788960,2017,5,8160
tt0451279,Wonder Woman,"Action, Adventure, Fantasy",action,7.3,76,716203,2017,5,8460
tt3315342,Logan,"Action, Drama, Sci-Fi",action,8.1,77,882758,2017,3,8220
tt5439796,Logan Lucky,"Action, Comedy, Crime",action,7.0,78,170060,2017,8,7080
tt3371366,Transformers: The Last Knight,"Action, Adventure, Sci-Fi",action,5.2,27,176543,2017,6,9240
tt6738136,Revenge,"Action, Drama, Horror",action,6.4,81,57756,2017,2,6480
tt2239822,Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy",action,6.4,51,203183,2017,7,8160
tt0974015,Justice League,"Action, Adventure, Fantasy",action,6.0,45,489914,2017,11,7200
tt2527336,Star Wars: Episode VIII - The Last Jedi,"Action, Adventure, Fantasy",action,6.9,84,691280,2017,12,9120
tt4649466,Kingsman: The Golden Circle,"Action, Adventure, Comedy",action,6.7,44,382665,2017,9,8460
tt3731562,Kong: Skull Island,"Action, Adventure, Fantasy",action,6.7,62,361258,2017,3,7080
tt1972591,King Arthur: Legend of the Sword,"Action, Adventure, Drama",action,6.7,41,239453,2017,5,7560
tt1219827,Ghost in the Shell,"Action, Crime, Drama",action,6.3,52,233358,2017,3,6420
tt1981128,Geostorm,"Action, Sci-Fi, Thriller",action,5.3,21,125105,2017,10,6660
tt4815122,Time Trap,"Action, Adventure, Mystery",action,6.2,46,47079,2017,11,5220
tt2406566,Atomic Blonde,"Action, Thriller",action,6.7,63,213281,2017,7,6900
tt1536537,What Happened to Monday,"Action, Crime, Fantasy",action,6.8,47,139341,2017,8,7380
tt4116284,The Lego Batman Movie,"Animation, Action, Adventure",action,7.3,75,180998,2017,2,6240
tt3450958,War for the Planet of the Apes,"Action, Adventure, Drama",action,7.4,82,314280,2017,7,8400
tt1615160,The Foreigner,"Action, Crime, Thriller",action,7.0,55,127428,2017,9,6780
tt1034385,Cold Skin,"Action, Fantasy, Horror",action,6.0,N/A,18913,2017,10,6480
tt4630562,The Fate of the Furious,"Action, Crime, Thriller",action,6.6,56,262837,2017,4,8160
tt1959563,The Hitman's Bodyguard,"Action, Comedy, Crime",action,6.9,47,254558,2017,8,7080
tt1961175,American Assassin,"Action, Thriller",action,6.2,45,95795,2017,9,6660
tt5519340,Bright,"Action, Fantasy, Thriller",action,6.3,29,205493,2017,12,7020
tt2091256,Captain Underpants: The First Epic Movie,"Animation, Action, Adventure",action,6.2,69,34270,2017,6,5340
tt2582576,Sand Castle,"Action, Drama, War",action,6.3,45,28954,2017,4,6780
tt4348012,Mayhem,"Action, Comedy, Horror",action,6.4,62,27354,2017,11,5160
tt1293847,xXx: Return of Xander Cage,"Action, Adventure, Thriller",action,5.2,42,99259,2017,1,6420
tt3296908,HHhH,"Action, Biography, Thriller",action,6.4,N/A,19047,2017,6,7200
tt0493405,CHIPS,"Action, Comedy, Crime",action,6.0,28,52360,2017,3,6000
tt4731148,Prityazhenie,"Action, Drama, Romance",action,5.6,N/A,14754,2017,1,7920
tt6349302,Sniper: Ultimate Kill,"Action, Drama, Thriller",action,5.6,N/A,7481,2017,10,5400
tt6904062,Ri-eol,"Action, Thriller",action,4.7,N/A,1830,2017,6,8220
tt4899370,Megan Leavey,"Action, Biography, Drama",action,7.1,66,29042,2017,6,6960
tt2771200,Beauty and the Beast,"Adventure, Family, Fantasy",adventure,7.1,65,344969,2017,3,7740
tt2380307,Coco,"Animation, Adventure, Drama",adventure,8.4,81,641488,2017,10,6300
tt4468740,Paddington 2,"Adventure, Comedy, Family",adventure,7.8,88,104199,2017,11,6180
tt3606752,Cars 3,"Animation, Adventure, Comedy",adventure,6.7,59,134096,2017,6,6120
tt3469046,Despicable Me 3,"Animation, Adventure, Comedy",adventure,6.3,49,167264,2017,6,5340
tt1753383,A Dog's Purpose,"Adventure, Comedy, Drama",adventure,7.3,43,82569,2017,1,6000
tt3874544,The Boss Baby,"Animation, Adventure, Comedy",adventure,6.3,50,148380,2017,3,5820
tt3411444,Ferdinand,"Animation, Adventure, Comedy",adventure,6.7,58,67449,2017,12,6480
tt3758172,Jungle,"Adventure, Biography, Drama",adventure,6.7,48,66805,2017,10,6900
tt4877122,The Emoji Movie,"Animation, Adventure, Comedy",adventure,3.4,12,74946,2017,7,5160
