imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime
tt0266697,Kill Bill: Vol. 1,"Action, Crime, Thriller",action,8.2,69,1242490,2003,10,6660
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",action,8.1,63,1256847,2003,7,8580
tt0364569,Oldeuboi,"Action, Drama, Mystery",action,8.3,78,672701,2003,11,7200
tt0287978,Daredevil,"Action, Crime, Drama",action,5.3,42,234927,2003,2,6180
tt0286716,Hulk,"Action, Sci-Fi",action,5.6,54,284821,2003,6,8280
tt0234215,The Matrix Reloaded,"Action, Sci-Fi",action,7.2,62,649054,2003,5,8280
tt0320691,Underworld,"Action, Fantasy, Thriller",action,7.0,42,292772,2003,9,7260
tt0325710,The Last Samurai,"Action, Drama",action,7.8,55,486460,2003,12,9240
tt0322259,2 Fast 2 Furious,"Action, Crime, Thriller",action,5.9,38,308441,2003,6,6420
tt0317740,The Italian Job,"Action, Crime, Thriller",action,7.0,68,397308,2003,5,6660
tt0290334,X2,"Action, Sci-Fi, Thriller",action,7.4,68,594985,2003,5,8040
tt0181852,Terminator 3: Rise of the Machines,"Action, Sci-Fi",action,6.3,66,426904,2003,7,6540
tt0311113,Master and Commander: The Far Side of the World,"Action, Adventure, Drama",action,7.5,81,245507,2003,11,8280
tt0316356,Open Range,"Action, Drama, Romance",action,7.4,67,81022,2003,8,8340
tt0311429,The League of Extraordinary Gentlemen,"Action, Adventure, Fantasy",action,5.8,30,187593,2003,7,6600
tt0242653,The Matrix Revolutions,"Action, Sci-Fi",action,6.7,47,558734,2003,11,7740
tt0329101,Freddy vs. Jason,"Action, Horror",action,5.7,37,131276,2003,8,5820
tt0305357,Charlie's Angels: Full Throttle,"Action, Adventure, Comedy",action,4.9,48,135888,2003,6,6360
tt0172156,Bad Boys II,"Action, Comedy, Crime",action,6.6,38,279889,2003,7,8820
tt0338459,Spy Kids 3: Game Over,"Action, Adventure, Comedy",action,4.4,57,68555,2003,7,5040
tt0257076,S.W.A.T.,"Action, Adventure, Crime",action,6.1,45,156722,2003,8,7020
tt0300556,Timeline,"Action, Adventure, Sci-Fi",action,5.6,29,67283,2003,11,6960
tt0314353,Tears of the Sun,"Action, Drama, Thriller",action,6.6,48,133982,2003,3,7260
tt0327850,The Rundown,"Action, Adventure, Comedy",action,6.7,59,145992,2003,9,6240
tt0285823,Once Upon a Time in Mexico,"Action, Crime, Thriller",action,6.3,56,173130,2003,9,6120
tt0325703,Lara Croft: Tomb Raider - The Cradle of Life,"Action, Adventure, Fantasy",action,5.5,43,147988,2003,7,7020
tt0298814,The Core,"Action, Adventure, Sci-Fi",action,5.5,48,109787,2003,3,8100
tt0274166,Johnny English,"Action, Adventure, Comedy",action,6.3,51,179424,2003,4,5340
tt0271668,National Security,"Action, Comedy, Crime",action,5.6,31,56055,2003,1,5280
tt0313911,Agent Cody Banks,"Action, Adventure, Comedy",action,5.1,41,37937,2003,3,6120
tt0368909,Ong-Bak,"Action, Crime, Thriller",action,7.1,69,79640,2003,10,6480
tt0338337,Paycheck,"Action, Mystery, Sci-Fi",action,6.3,43,115068,2003,12,7140
tt0269347,The Hunted,"Action, Crime, Drama",action,6.1,40,52933,2003,3,5640
tt0317676,House of the Dead,"Action, Adventure, Horror",action,2.1,15,39191,2003,10,5400
tt0300471,Shanghai Knights,"Action, Adventure, Comedy",action,6.2,58,114773,2003,2,6840
tt0292506,The Recruit,"Action, Thriller",action,6.6,56,144466,2003,1,6900
tt0257568,Kangaroo Jack,"Action, Adventure, Comedy",action,4.5,16,34671,2003,1,5340
tt0326769,Biker Boyz,"Action, Drama",action,4.7,36,14405,2003,1,6600
tt0306685,Cradle 2 the Grave,"Action, Crime, Drama",action,5.8,36,47626,2003,2,6060
tt0329717,Hollywood Homicide,"Action, Comedy, Crime",action,5.3,47,40327,2003,6,6960
tt0266465,A Man Apart,"Action, Crime, Drama",action,6.0,36,50232,2003,4,6540
tt0339230,Kopps,"Action, Comedy",action,6.7,N/A,23496,2003,2,5400
tt0245803,Bulletproof Monk,"Action, Comedy, Fantasy",action,5.5,40,52957,2003,4,6240
tt0288045,The Medallion,"Action, Comedy, Fantasy",action,5.2,38,44908,2003,8,5280
tt0277941,Ned Kelly,"Action, Adventure, Biography",action,6.4,56,28609,2003,3,6600
tt0327409,Alien Hunter,"Action, Adventure, Sci-Fi",action,5.1,N/A,5183,2003,7,5520
tt0339135,In Hell,"Action, Drama, Thriller",action,6.1,N/A,22129,2003,8,5880
tt0363226,Zatôichi,"Action, Comedy, Crime",action,7.4,75,52364,2003,9,6960
tt0373283,Saints and Soldiers,"Action, Drama, War",action,6.7,56,21718,2003,3,5400
tt0314786,The In-Laws,"Action, Comedy, Thriller",action,5.7,46,18159,2003,5,5880
