imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime
tt0409459,Watchmen,"Action, Drama, Mystery",action,7.6,56,595915,2009,3,9720
tt0499549,Avatar,"Action, Adventure, Fantasy",action,7.9,83,1424258,2009,12,9720
tt0796366,Star Trek,"Action, Adventure, Sci-Fi",action,7.9,82,628270,2009,5,7620
tt0417741,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",action,7.6,78,623492,2009,7,9180
tt1156398,Zombieland,"Action, Comedy, Horror",action,7.5,73,641979,2009,10,5280
tt1098327,Dragonball Evolution,"Action, Adventure, Fantasy",action,2.5,45,81036,2009,3,5100
tt0988045,Sherlock Holmes,"Action, Adventure, Mystery",action,7.6,57,687479,2009,12,7680
tt1190080,2012,"Action, Adventure, Sci-Fi",action,5.8,49,408634,2009,11,9480
tt1013752,Fast & Furious,"Action, Thriller",action,6.5,46,321638,2009,4,6420
tt1197624,Law Abiding Citizen,"Action, Crime, Drama",action,7.4,34,331971,2009,10,6540
tt1055369,Transformers: Revenge of the Fallen,"Action, Adventure, Sci-Fi",action,6.0,35,439853,2009,6,8940
tt1136608,District 9,"Action, Sci-Fi, Thriller",action,7.9,81,732915,2009,8,6720
tt0892782,Monsters vs Aliens,"Animation, Action, Adventure",action,6.4,56,181640,2009,3,5640
tt0458525,X-Men Origins: Wolverine,"Action, Sci-Fi",action,6.5,40,552199,2009,4,6420
tt0438488,Terminator Salvation,"Action, Adventure, Sci-Fi",action,6.5,49,384694,2009,5,6900
tt0472033,9,"Animation, Action, Adventure",action,7.0,60,152198,2009,9,4740
tt1188729,Pandorum,"Action, Horror, Mystery",action,6.7,28,163373,2009,10,6480
tt1034032,Gamer,"Action, Sci-Fi, Thriller",action,5.7,27,141575,2009,9,5700
tt0457400,Land of the Lost,"Action, Adventure, Comedy",action,5.3,32,77142,2009,6,6120
tt1046173,G.I. Joe: The Rise of Cobra,"Action, Adventure, Sci-Fi",action,5.7,32,217598,2009,8,7080
tt1121931,Crank: High Voltage,"Action, Thriller",action,6.1,41,162945,2009,4,5760
tt0986263,Surrogates,"Action, Sci-Fi, Thriller",action,6.3,45,182310,2009,9,5340
tt0970452,Solomon Kane,"Action, Adventure, Fantasy",action,6.1,48,78545,2009,12,6240
tt1114740,Paul Blart: Mall Cop,"Action, Comedy, Crime",action,5.3,39,120533,2009,1,5460
tt0346631,Blood and Bone,"Action, Crime, Drama",action,6.7,N/A,36836,2009,9,5580
tt0834001,Underworld: Rise of the Lycans,"Action, Fantasy, Thriller",action,6.5,44,171323,2009,1,5520
tt0433362,Daybreakers,"Action, Horror, Sci-Fi",action,6.4,57,137622,2009,1,5880
tt0375568,Astro Boy,"Animation, Action, Adventure",action,6.2,53,41213,2009,10,5640
tt1186367,Ninja Assassin,"Action, Thriller",action,6.3,34,77261,2009,11,5940
tt1483797,Redline,"Animation, Action, Sci-Fi",action,7.5,N/A,18575,2009,10,6120
tt1153706,Dance Flick,"Action, Comedy, Music",action,3.6,40,12999,2009,5,4980
tt0465580,Push,"Action, Sci-Fi, Thriller",action,6.1,36,117319,2009,2,6660
tt1242422,Celda 211,"Action, Adventure, Crime",action,7.6,N/A,72272,2009,11,6780
tt1300851,The Boondock Saints II: All Saints Day,"Action, Crime, Thriller",action,6.2,24,67769,2009,12,7080
tt1111422,The Taking of Pelham 123,"Action, Crime, Thriller",action,6.4,55,212114,2009,6,6360
tt1075417,Race to Witch Mountain,"Action, Adventure, Family",action,5.7,52,64468,2009,3,5880
tt1190536,Black Dynamite,"Action, Comedy",action,7.4,65,53074,2009,1,5040
tt1216487,Flickan som lekte med elden,"Action, Crime, Drama",action,7.1,66,99931,2009,9,7740
tt0436339,G-Force,"Animation, Action, Adventure",action,5.1,41,51567,2009,7,5280
tt1289406,Harry Brown,"Action, Crime, Drama",action,7.2,55,92788,2009,11,6180
tt1003034,Perrier's Bounty,"Action, Comedy, Crime",action,6.3,47,7745,2009,3,5280
tt0963178,The International,"Action, Crime, Drama",action,6.5,52,102249,2009,2,7080
