imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt0320661,Kingdom of Heaven,"Action, Adventure, Drama",action,7.3,63.0,330994,2005,5.0,8640.0,,,,
tt0372784,Batman Begins,"Action, Drama",action,8.2,70.0,1635849,2005,6.0,8400.0,,,,
tt0121766,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy",action,7.6,68.0,873445,2005,5.0,8400.0,,,,
tt0360486,Constantine,"Action, Fantasy, Horror",action,7.0,50.0,389598,2005,2.0,7260.0,,,,
tt0120667,Fantastic Four,"Action, Adventure, Fantasy",action,5.7,40.0,354162,2005,7.0,6360.0,,,,
tt0434409,V for Vendetta,"Action, Drama, Sci-Fi",action,8.1,62.0,1209626,2005,3.0,7920.0,,,,
tt0407304,War of the Worlds,"Action, Adventure, Sci-Fi",action,6.5,73.0,487969,2005,7.0,7020.0,,,,
tt0360717,King Kong,"Action, Adventure, Romance",action,7.2,81.0,457466,2005,12.0,11220.0,,,,
tt0399146,A History of Violence,"Action, Crime, Drama",action,7.4,82.0,262849,2005,9.0,5760.0,,,,
tt0379786,Serenity,"Action, Adventure, Sci-Fi",action,7.8,74.0,309936,2005,9.0,7140.0,"['Nathan Fillion', 'Gina Torres', 'Chiwetel Ejiofor']",Joss Whedon,"$39,000,000 (estimated)","$40,447,016"
tt0399201,The Island,"Action, Sci-Fi, Thriller",action,6.8,50.0,333422,2005,7.0,8160.0,,,,
tt0356910,Mr. & Mrs. Smith,"Action, Comedy, Crime",action,6.5,55.0,563774,2005,6.0,7200.0,"['Brad Pitt', 'Angelina Jolie', 'Adam Brody']",Doug Liman,"$110,000,000 (estimated)","$487,287,646"
tt0405325,Sky High,"Action, Comedy, Family",action,6.3,62.0,97457,2005,7.0,6000.0,,,,
tt0318649,Sahara,"Action, Adventure, Comedy",action,6.1,41.0,106184,2005,4.0,7440.0,"['Matthew McConaughey', 'Penélope Cruz', 'Steve Zahn']",Breck Eisner,"$130,000,000 (estimated)","$119,240,351"
tt0357277,Elektra,"Action, Adventure, Crime",action,4.7,34.0,101473,2005,1.0,5820.0,"['Jennifer Garner', 'Goran Visnjic', 'Will Yun Lee']",Rob Bowman,"$43,000,000 (estimated)","$56,995,646"
tt0388482,Transporter 2,"Action, Thriller",action,6.3,56.0,220328,2005,8.0,5220.0,,,,
tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,"Action, Adventure, Comedy",action,3.8,38.0,44243,2005,6.0,5580.0,,,,
tt0402022,Æon Flux,"Action, Adventure, Sci-Fi",action,5.4,36.0,134736,2005,12.0,5580.0,,,,
tt0419706,Doom,"Action, Horror, Sci-Fi",action,5.2,34.0,121046,2005,10.0,6300.0,"['Karl Urban', 'Rosamund Pike', 'Dwayne Johnson']",Andrzej Bartkowiak,"$60,000,000 (estimated)","$58,072,119"
tt0355295,The Brothers Grimm,"Action, Adventure, Comedy",action,5.9,51.0,128472,2005,8.0,7080.0,,,,
tt0395699,The Pacifier,"Action, Comedy, Drama",action,5.6,30.0,103499,2005,3.0,5700.0,,,,
tt0406375,Zathura: A Space Adventure,"Action, Adventure, Comedy",action,6.3,67.0,119956,2005,11.0,6060.0,"['Josh Hutcherson', 'Jonah Bobo', 'Dax Shepard']",Jon Favreau,"$65,000,000 (estimated)","$65,079,236"
tt0378109,Into the Blue,"Action, Adventure, Crime",action,5.9,45.0,81397,2005,9.0,6600.0,"['Paul Walker', 'Jessica Alba', 'Scott Caan']",John Stockwell,"$50,000,000 (estimated)","$46,117,696"
tt0365686,Revolver,"Action, Crime, Drama",action,6.3,25.0,105660,2005,9.0,6660.0,,,,
tt0430105,Four Brothers,"Action, Crime, Drama",action,6.8,49.0,163409,2005,7.0,6540.0,"['Mark Wahlberg', 'Tyrese Gibson', 'André 3000']",John Singleton,"$45,000,000 (estimated)","$92,374,674"
tt0421054,Domino,"Action, Biography, Crime",action,5.9,37.0,70363,2005,10.0,7620.0,,,,
tt0456912,Dalkomhan insaeng,"Action, Crime, Drama",action,7.5,,44585,2005,4.0,7140.0,,,,
tt0386140,The Legend of Zorro,"Action, Adventure, Romance",action,6.0,47.0,110647,2005,10.0,7740.0,,,,
tt0403016,Supercross,"Action, Drama, Romance",action,4.4,26.0,4949,2005,8.0,4800.0,"['Steve Howey', 'Mike Vogel', 'Sophia Bush']",Steve Boyum,"$16,000,000 (estimated)","$3,344,431"
tt0385307,Miss Congeniality 2: Armed and Fabulous,"Action, Comedy, Crime",action,5.2,34.0,82222,2005,3.0,6900.0,"['Sandra Bullock', 'Regina King', 'William Shatner']",John Pasquin,"$45,000,000 (estimated)","$101,393,569"
tt0426459,Feast,"Action, Comedy, Horror",action,6.2,43.0,34906,2005,1.0,5700.0,,,,
tt0383222,BloodRayne,"Action, Fantasy, Horror",action,3.0,18.0,37798,2005,1.0,5700.0,,,,
tt0402910,Chaos,"Action, Crime, Drama",action,6.4,,59164,2005,12.0,6360.0,"['Jason Statham', 'Ryan Phillippe', 'Wesley Snipes']",Tony Giglio,"$12,500,000 (estimated)","$7,000,248"
tt0340163,Hostage,"Action, Crime, Drama",action,6.5,44.0,114630,2005,3.0,6780.0,,,,
tt0342258,Unleashed,"Action, Crime, Thriller",action,7.0,58.0,109801,2005,2.0,6180.0,,,,
tt0433387,Harsh Times,"Action, Crime, Drama",action,6.8,56.0,69574,2005,11.0,6960.0,,,,
tt0318081,A Sound of Thunder,"Action, Adventure, Horror",action,4.2,24.0,21133,2005,9.0,6600.0,,,,
tt0382992,Stealth,"Action, Adventure, Sci-Fi",action,5.1,35.0,57305,2005,7.0,7260.0,,,,
tt0398712,Assault on Precinct 13,"Action, Crime, Drama",action,6.3,54.0,83025,2005,1.0,6540.0,,,,
