imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt0458339,Captain America: The First Avenger,"Action, Adventure, Sci-Fi",action,6.9,66.0,926624,2011,7.0,7440.0,,,,
tt0780504,Drive,"Action, Drama",action,7.8,79.0,731805,2011,9.0,6000.0,,,,
tt1270798,X: First Class,"Action, Sci-Fi",action,7.7,65.0,743587,2011,6.0,7860.0,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence']",Matthew Vaughn,"$160,000,000 (estimated)","$352,616,690"
tt0800369,Thor,"Action, Fantasy",action,7.0,57.0,927884,2011,5.0,6900.0,"['Chris Hemsworth', 'Anthony Hopkins', 'Natalie Portman']",Kenneth Branagh,"$150,000,000 (estimated)","$449,326,618"
tt1298650,Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy",action,6.6,45.0,582959,2011,5.0,8220.0,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",Rob Marshall,"$250,000,000 (estimated)","$1,046,721,266"
tt1637688,In Time,"Action, Sci-Fi, Thriller",action,6.7,53.0,464113,2011,10.0,6540.0,"['Justin Timberlake', 'Amanda Seyfried', 'Cillian Murphy']",Andrew Niccol,"$40,000,000 (estimated)","$173,930,596"
tt1650062,Super 8,"Action, Sci-Fi, Thriller",action,7.0,72.0,373204,2011,6.0,6720.0,"['Elle Fanning', 'AJ Michalka', 'Kyle Chandler']",J.J. Abrams,"$50,000,000 (estimated)","$260,095,986"
tt0978764,Sucker Punch,"Action, Adventure, Fantasy",action,6.1,33.0,256336,2011,3.0,6600.0,"['Emily Browning', 'Vanessa Hudgens', 'Abbie Cornish']",Zack Snyder,"$82,000,000 (estimated)","$89,792,502"
tt1291584,Warrior,"Action, Drama, Sport",action,8.1,71.0,511734,2011,9.0,8400.0,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton']",Gavin O'Connor,"$25,000,000 (estimated)","$23,308,615"
tt1229238,Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",action,7.4,73.0,540620,2011,12.0,7920.0,,,,
tt0945513,Source Code,"Action, Drama, Mystery",action,7.5,74.0,565115,2011,4.0,5580.0,,,,
tt1464540,I Am Number Four,"Action, Adventure, Sci-Fi",action,6.1,36.0,249396,2011,2.0,6660.0,"['Alex Pettyfer', 'Timothy Olyphant', 'Dianna Agron']",D.J. Caruso,"$60,000,000 (estimated)","$149,878,437"
tt1899353,Serbuan maut,"Action, Crime, Thriller",action,7.6,73.0,222835,2011,3.0,6060.0,"['Iko Uwais', 'Ananda George', 'Ray Sahetapy']",Gareth Evans,"$1,100,000 (estimated)","$9,146,852"
tt0433035,Real Steel,"Action, Drama, Sci-Fi",action,7.1,56.0,368652,2011,10.0,7620.0,,,,
tt1399103,Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi",action,6.2,42.0,442552,2011,6.0,9240.0,,,,
tt1509767,The Three Musketeers,"Action, Adventure, Fantasy",action,5.7,35.0,113732,2011,9.0,6600.0,"['Logan Lerman', 'Matthew Macfadyen', 'Ray Stevenson']",Paul W.S. Anderson,"$75,000,000 (estimated)","$132,274,484"
tt1253864,Immortals,"Action, Drama, Fantasy",action,6.0,46.0,179724,2011,11.0,6600.0,"['Henry Cavill', 'Mickey Rourke', 'John Hurt']",Tarsem Singh,"$75,000,000 (estimated)","$226,904,017"
tt1192628,Rango,"Animation, Action, Adventure",action,7.3,75.0,303367,2011,3.0,6420.0,"['Johnny Depp', 'Isla Fisher', 'Timothy Olyphant']",Gore Verbinski,"$135,000,000 (estimated)","$245,724,603"
tt0999913,Straw Dogs,"Action, Drama, Thriller",action,5.8,45.0,36806,2011,9.0,6600.0,,,,
tt1502404,Drive Angry,"Action, Comedy, Fantasy",action,5.4,44.0,104926,2011,2.0,6240.0,,,,
tt1596343,Fast Five,"Action, Crime, Thriller",action,7.3,66.0,418603,2011,4.0,7800.0,,,,
tt0993842,Hanna,"Action, Adventure, Drama",action,6.7,65.0,210366,2011,4.0,6660.0,"['Saoirse Ronan', 'Cate Blanchett', 'Eric Bana']",Joe Wright,"$30,000,000 (estimated)","$63,782,078"
tt0448694,Puss in Boots,"Animation, Action, Adventure",action,6.6,65.0,200290,2011,11.0,5400.0,"['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis']",Chris Miller,"$130,000,000 (estimated)","$554,987,477"
tt1318514,Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",action,7.6,68.0,590782,2011,8.0,6300.0,,,,
tt0822847,Priest,"Action, Fantasy, Horror",action,5.7,41.0,126351,2011,5.0,5220.0,,,,
tt1133985,Green Lantern,"Action, Adventure, Sci-Fi",action,5.5,39.0,302532,2011,6.0,6840.0,,,,
tt0472399,The Mechanic,"Action, Crime, Thriller",action,6.5,49.0,177598,2011,1.0,5580.0,"['Jason Statham', 'Ben Foster', 'Donald Sutherland']",Simon West,"$40,000,000 (estimated)","$76,130,093"
tt1657507,Colombiana,"Action, Crime, Drama",action,6.4,45.0,111093,2011,7.0,6480.0,"['Zoe Saldaña', 'Michael Vartan', 'Callum Blue']",Olivier Megaton,"$40,000,000 (estimated)","$71,508,440"
tt1515091,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Mystery",action,7.4,48.0,490783,2011,12.0,7740.0,"['Robert Downey Jr.', 'Jude Law', 'Jared Harris']",Guy Ritchie,"$125,000,000 (estimated)","$543,848,418"
tt0409847,Cowboys & Aliens,"Action, Drama, Sci-Fi",action,6.0,50.0,236775,2011,7.0,7140.0,"['Daniel Craig', 'Harrison Ford', 'Olivia Wilde']",Jon Favreau,"$163,000,000 (estimated)","$174,822,325"
tt1506999,Haywire,"Action, Drama, Thriller",action,5.8,67.0,91204,2011,1.0,5580.0,"['Gina Carano', 'Ewan McGregor', 'Michael Fassbender']",Steven Soderbergh,"$23,000,000 (estimated)","$34,513,760"
