imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt0332452,Troy,"Action, Adventure, Drama",action,7.3,56.0,589783,2004,5.0,9780.0,"['Brad Pitt', 'Eric Bana', 'Orlando Bloom']",Wolfgang Petersen,"$175,000,000 (estimated)","$497,409,852"
tt0378194,Kill Bill: Vol. 2,"Action, Crime, Thriller",action,8.0,83.0,833357,2004,4.0,8220.0,"['Uma Thurman', 'David Carradine', 'Michael Madsen']",Quentin Tarantino,"$30,000,000 (estimated)","$154,118,514"
tt0317705,The Incredibles,"Animation, Action, Adventure",action,8.0,90.0,847983,2004,10.0,6900.0,"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter']",Brad Bird,"$92,000,000 (estimated)","$631,688,498"
tt0363547,Dawn of the Dead,"Action, Horror",action,7.2,59.0,280059,2004,3.0,6060.0,"['Sarah Polley', 'Ving Rhames', 'Mekhi Phifer']",Zack Snyder,"$26,000,000 (estimated)","$102,280,154"
tt0330793,The Punisher,"Action, Crime, Drama",action,6.4,33.0,175264,2004,4.0,7440.0,"['Thomas Jane', 'John Travolta', 'Samantha Mathis']",Jonathan Hensleigh,"$33,000,000 (estimated)","$54,700,105"
tt0316654,Spider-Man 2,"Action, Adventure, Sci-Fi",action,7.5,83.0,740649,2004,6.0,7620.0,"['Tobey Maguire', 'Kirsten Dunst', 'Alfred Molina']",Sam Raimi,"$200,000,000 (estimated)","$784,543,400"
tt0328107,Man on Fire,"Action, Crime, Drama",action,7.7,47.0,401275,2004,4.0,8760.0,"['Denzel Washington', 'Christopher Walken', 'Dakota Fanning']",Tony Scott,"$70,000,000 (estimated)","$130,834,852"
tt0319262,The Day After Tomorrow,"Action, Adventure, Sci-Fi",action,6.5,47.0,494718,2004,5.0,7440.0,"['Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum']",Roland Emmerich,"$125,000,000 (estimated)","$552,639,571"
tt0343818,"I, Robot","Action, Mystery, Sci-Fi",action,7.1,59.0,593643,2004,7.0,6900.0,,,,
tt0369339,Collateral,"Action, Crime, Drama",action,7.5,71.0,446486,2004,8.0,7200.0,"['Tom Cruise', 'Jamie Foxx', 'Jada Pinkett Smith']",Michael Mann,"$65,000,000 (estimated)","$220,240,655"
