imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt0416449,300,"Action, Drama",action,7.6,52.0,886844,2006,3.0,7020.0,,,,
tt0381061,Casino Royale,"Action, Adventure, Thriller",action,8.0,80.0,714298,2006,11.0,8640.0,"['Daniel Craig', 'Eva Green', 'Judi Dench']",Martin Campbell,"$150,000,000 (estimated)","$616,577,552"
tt0472043,Apocalypto,"Action, Adventure, Drama",action,7.8,68.0,343004,2006,12.0,8340.0,,,,
tt0383574,Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy",action,7.4,53.0,792690,2006,7.0,9060.0,,,,
tt0463985,The Fast and the Furious: Tokyo Drift,"Action, Crime, Thriller",action,6.1,45.0,313035,2006,6.0,6240.0,,,,
tt0479884,Crank,"Action, Crime, Thriller",action,6.9,57.0,270009,2006,9.0,5280.0,,,,
tt0317919,Mission: Impossible III,"Action, Adventure, Thriller",action,6.9,66.0,401911,2006,5.0,7560.0,,,,
tt0376994,X-Men: The Last Stand,"Action, Adventure, Sci-Fi",action,6.6,58.0,557395,2006,5.0,6240.0,,,,
tt0348150,Superman Returns,"Action, Adventure, Sci-Fi",action,6.1,72.0,295429,2006,6.0,9240.0,,,,
tt0443632,The Sentinel,"Action, Crime, Thriller",action,6.1,49.0,55470,2006,4.0,6480.0,"['Michael Douglas', 'Kiefer Sutherland', 'Kim Basinger']",Clark Johnson,"$60,000,000 (estimated)","$78,810,595"
tt0453467,Deja Vu,"Action, Crime, Sci-Fi",action,7.1,59.0,335912,2006,11.0,7560.0,,,,
tt0398913,DOA: Dead or Alive,"Action, Adventure, Mystery",action,4.8,38.0,47018,2006,9.0,5220.0,"['Jaime Pressly', 'Devon Aoki', 'Sarah Carter']",Corey Yuen,"$21,000,000 (estimated)","$7,563,325"
tt0409182,Poseidon,"Action, Adventure, Thriller",action,5.7,50.0,112682,2006,5.0,5880.0,"['Richard Dreyfuss', 'Kurt Russell', 'Emmy Rossum']",Wolfgang Petersen,"$160,000,000 (estimated)","$181,674,817"
tt0475394,Smokin' Aces,"Action, Comedy, Crime",action,6.6,45.0,154709,2006,1.0,6540.0,"['Jeremy Piven', 'Ryan Reynolds', 'Ray Liotta']",Joe Carnahan,"$17,000,000 (estimated)","$57,232,879"
tt0424095,Flushed Away,"Animation, Action, Adventure",action,6.6,74.0,143654,2006,11.0,5100.0,,,,
tt6019206,Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller",action,8.7,,18353,2006,5.0,14820.0,,,,
tt0449010,Eragon,"Action, Adventure, Family",action,5.1,38.0,132322,2006,12.0,6240.0,"['Ed Speleers', 'Sienna Guillory', 'Jeremy Irons']",Stefen Fangmeier,"$100,000,000 (estimated)","$250,425,512"
tt0401855,Underworld: Evolution,"Action, Fantasy, Thriller",action,6.7,36.0,213366,2006,1.0,6360.0,"['Kate Beckinsale', 'Scott Speedman', 'Bill Nighy']",Len Wiseman,"$50,000,000 (estimated)","$111,476,513"
tt0417148,Snakes on a Plane,"Action, Adventure, Crime",action,5.5,58.0,146876,2006,8.0,6300.0,,,,
tt0430357,Miami Vice,"Action, Crime, Drama",action,6.1,66.0,126901,2006,7.0,7920.0,"['Colin Farrell', 'Jamie Foxx', 'Gong Li']",Michael Mann,"$135,000,000 (estimated)","$163,794,509"
tt0375154,Tristan + Isolde,"Action, Drama, Romance",action,6.8,49.0,54963,2006,1.0,7500.0,,,,
tt0416496,Bandidas,"Action, Comedy, Crime",action,5.7,,38069,2006,1.0,5580.0,"['Penélope Cruz', 'Salma Hayek', 'Steve Zahn']",Joachim Rønning,"€32,000,000 (estimated)","$18,381,890"
tt0475276,United 93,"Action, Drama, History",action,7.6,90.0,113006,2006,4.0,6660.0,"['David Alan Basche', 'Olivia Thirlby', 'Liza Colón-Zayas']",Paul Greengrass,"$15,000,000 (estimated)","$76,700,659"
tt0404390,Running Scared,"Action, Crime, Drama",action,7.3,41.0,105016,2006,2.0,7320.0,"['Paul Walker', 'Cameron Bright', 'Chazz Palminteri']",Wayne Kramer,"$15,000,000 (estimated)","$9,380,029"
tt0498380,Letters from Iwo Jima,"Action, Adventure, Drama",action,7.8,89.0,173242,2006,2.0,8460.0,"['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara']",Clint Eastwood,"$19,000,000 (estimated)","$68,673,228"
tt0370032,Ultraviolet,"Action, Sci-Fi",action,4.4,18.0,85122,2006,3.0,5280.0,,,,
tt0418689,Flags of Our Fathers,"Action, Adventure, Drama",action,7.1,79.0,131623,2006,10.0,8100.0,"['Ryan Phillippe', 'Barry Pepper', 'Joseph Cross']",Clint Eastwood,"$90,000,000 (estimated)","$65,900,249"
tt0437179,See No Evil,"Action, Horror, Thriller",action,5.1,17.0,29784,2006,5.0,5040.0,"['Glenn Jacobs', 'Christina Vidal', 'Michael J. Pagan']",Gregory Dark,"$8,000,000 (estimated)","$18,707,966"
