imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt1375666,Inception,"Action, Adventure, Sci-Fi",action,8.8,74.0,2663086,2010,7,8880.0,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']",Christopher Nolan,"$160,000,000 (estimated)","$839,030,630"
tt0446029,Scott Pilgrim vs. the World,"Action, Comedy, Fantasy",action,7.5,69.0,479551,2010,8,6720.0,"['Michael Cera', 'Mary Elizabeth Winstead', 'Kieran Culkin']",Edgar Wright,"$60,000,000 (estimated)","$51,824,861"
tt0892769,How to Train Your Dragon,"Animation, Action, Adventure",action,8.1,75.0,836570,2010,3,5880.0,,,,
tt0800320,Clash of the Titans,"Action, Adventure, Fantasy",action,5.8,39.0,298197,2010,4,6360.0,,,,
tt1104001,Tron: Legacy,"Action, Adventure, Sci-Fi",action,6.8,49.0,363816,2010,12,7500.0,"['Jeff Bridges', 'Garrett Hedlund', 'Olivia Wilde']",Joseph Kosinski,"$170,000,000 (estimated)","$409,912,892"
tt1250777,Kick-Ass,"Action, Comedy, Crime",action,7.6,66.0,607253,2010,3,7020.0,,,,
tt1245526,RED,"Action, Comedy, Crime",action,7.0,60.0,331172,2010,10,6660.0,,,,
tt1228705,Iron Man 2,"Action, Sci-Fi",action,6.9,57.0,897302,2010,5,7440.0,,,,
tt1386588,The Other Guys,"Action, Comedy, Crime",action,6.7,64.0,297549,2010,8,6420.0,"['Will Ferrell', 'Mark Wahlberg', 'Derek Jeter']",Adam McKay,"$100,000,000 (estimated)","$170,458,922"
tt1588170,Angmareul boatda,"Action, Thriller",action,7.8,67.0,155085,2010,8,8640.0,,,,
tt1038686,Legion,"Action, Fantasy, Horror",action,5.3,32.0,115525,2010,1,6000.0,,,,
tt1527788,Ajeossi,"Action, Drama, Thriller",action,7.7,,77501,2010,8,7140.0,"['Won Bin', 'Kim Sae-ron', 'Kim Tae-hoon']",Lee Jeong-beom,,"$44,723,232"
tt0955308,Robin Hood,"Action, Adventure, Drama",action,6.6,53.0,289680,2010,5,8400.0,"['Russell Crowe', 'Cate Blanchett', 'Matthew Macfadyen']",Ridley Scott,"$200,000,000 (estimated)","$321,669,741"
tt1320253,The Expendables,"Action, Adventure, Thriller",action,6.4,45.0,371669,2010,8,6180.0,"['Sylvester Stallone', 'Jason Statham', 'Jet Li']",Sylvester Stallone,"$80,000,000 (estimated)","$274,470,394"
tt1155076,The Karate Kid,"Action, Drama, Family",action,6.2,61.0,214753,2010,6,8400.0,"['Jackie Chan', 'Jaden Smith', 'Taraji P. Henson']",Harald Zwart,"$40,000,000 (estimated)","$359,126,022"
tt1325004,The Twilight Saga: Eclipse,"Action, Adventure, Drama",action,5.1,58.0,269278,2010,6,7440.0,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']",David Slade,"$68,000,000 (estimated)","$698,513,085"
tt1179025,Les aventures extraordinaires d'Adèle Blanc-Sec,"Action, Adventure, Comedy",action,6.3,,23523,2010,4,6420.0,,,,
tt0473075,Prince of Persia: The Sands of Time,"Action, Adventure, Fantasy",action,6.5,50.0,310562,2010,5,6960.0,,,,
tt1424381,Predators,"Action, Adventure, Sci-Fi",action,6.4,51.0,251336,2010,7,6420.0,,,,
tt0429493,The A-Team,"Action, Adventure, Crime",action,6.7,47.0,272437,2010,6,7020.0,"['Liam Neeson', 'Bradley Cooper', 'Sharlto Copley']",Joe Carnahan,"$110,000,000 (estimated)","$177,238,796"
tt1013743,Knight and Day,"Action, Adventure, Comedy",action,6.3,46.0,216895,2010,6,6540.0,,,,
tt1037705,The Book of Eli,"Action, Adventure, Drama",action,6.8,53.0,349844,2010,1,7080.0,"['Denzel Washington', 'Mila Kunis', 'Ray Stevenson']",Albert Hughes,"$80,000,000 (estimated)","$157,107,755"
tt0964517,The Fighter,"Action, Biography, Drama",action,7.8,79.0,397588,2010,12,6960.0,,,,
tt1001526,Megamind,"Animation, Action, Adventure",action,7.3,63.0,307683,2010,11,5700.0,,,,
tt0944835,Salt,"Action, Thriller",action,6.5,65.0,336421,2010,7,6000.0,"['Angelina Jolie', 'Liev Schreiber', 'Chiwetel Ejiofor']",Phillip Noyce,"$110,000,000 (estimated)","$293,503,354"
tt0477080,Unstoppable,"Action, Thriller",action,6.8,69.0,212886,2010,11,5880.0,,,,
tt1433108,Faster,"Action, Crime, Drama",action,6.4,44.0,114621,2010,11,5880.0,"['Dwayne Johnson', 'Billy Bob Thornton', 'Maggie Grace']",George Tillman Jr.,"$24,000,000 (estimated)","$35,626,958"
tt0938283,The Last Airbender,"Action, Adventure, Family",action,4.0,20.0,177897,2010,7,6180.0,"['Noah Ringer', 'Nicola Peltz Beckham', 'Jackson Rathbone']",M. Night Shyamalan,"$150,000,000 (estimated)","$319,713,881"
tt1243957,The Tourist,"Action, Thriller",action,6.0,37.0,261939,2010,12,6180.0,,,,
tt0985694,Machete,"Action, Crime, Thriller",action,6.6,60.0,206810,2010,9,6300.0,,,,
tt1458175,The Next Three Days,"Action, Crime, Drama",action,7.3,52.0,211091,2010,11,7980.0,,,,
tt0480255,The Losers,"Action, Adventure, Comedy",action,6.2,44.0,109020,2010,4,5820.0,"['Idris Elba', 'Zoe Saldaña', 'Jeffrey Dean Morgan']",Sylvain White,"$25,000,000 (estimated)","$29,397,654"
tt0963966,The Sorcerer's Apprentice,"Action, Adventure, Family",action,6.1,46.0,173016,2010,7,6540.0,,,,
tt1220634,Resident Evil: Afterlife,"Action, Horror, Sci-Fi",action,5.8,37.0,182861,2010,9,5760.0,,,,
tt1103153,Killers,"Action, Comedy, Romance",action,5.5,21.0,97891,2010,6,6000.0,"['Katherine Heigl', 'Ashton Kutcher', 'Tom Selleck']",Robert Luketic,"$75,000,000 (estimated)","$98,159,963"
tt1512235,Super,"Action, Comedy, Crime",action,6.7,50.0,85095,2010,6,5760.0,"['Rainn Wilson', 'Elliot Page', 'Liv Tyler']",James Gunn,"$2,500,000 (estimated)","$422,618"
tt1564585,Skyline,"Action, Sci-Fi, Thriller",action,4.5,26.0,93220,2010,11,5520.0,"['Eric Balfour', 'Donald Faison', 'Scottie Thompson']",Colin Strause,"$10,000,000 (estimated)","$66,984,887"
tt1038919,The Bounty Hunter,"Action, Comedy, Romance",action,5.5,22.0,136864,2010,3,6600.0,,,,
tt1181791,Black Death,"Action, Drama, History",action,6.4,71.0,52545,2010,6,6120.0,"['Eddie Redmayne', 'Sean Bean', 'Carice van Houten']",Christopher Smith,,"$382,879"
