imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt6723592,Tenet,"Action, Sci-Fi, Thriller",action,7.3,69.0,625140,2020,8.0,9000,,,,
tt3794354,Sonic the Hedgehog,"Action, Adventure, Comedy",action,6.5,47.0,178403,2020,2.0,5940,,,,
tt8244784,The Hunt,"Action, Horror, Thriller",action,6.6,50.0,142137,2020,3.0,5400,"['Betty Gilpin', 'Hilary Swank', 'Ike Barinholtz']",Craig Zobel,"$14,000,000 (estimated)","$10,550,350"
tt7126948,Wonder Woman 1984,"Action, Adventure, Fantasy",action,5.4,60.0,300025,2020,12.0,9060,,,,
tt10059518,Unhinged,"Action, Thriller",action,6.0,40.0,82805,2020,7.0,5400,"['Russell Crowe', 'Caren Pistorius', 'Gabriel Bateman']",Derrick Borte,"$33,000,000 (estimated)","$44,331,465"
tt7556122,The Old Guard,"Action, Thriller",action,6.7,70.0,191049,2020,7.0,7500,,,,
tt6475714,Monster Hunter,"Action, Adventure, Fantasy",action,5.2,47.0,70916,2020,12.0,6180,,,,
tt7737786,Greenland,"Action, Thriller",action,6.4,64.0,144714,2020,12.0,7140,"['Gerard Butler', 'Morena Baccarin', 'Roger Dale Floyd']",Ric Roman Waugh,"$34,000,000 (estimated)","$52,300,000"
tt7638348,Boss Level,"Action, Adventure, Comedy",action,6.8,56.0,84111,2020,2.0,6000,,,,
tt10600398,We Can Be Heroes,"Animation, Action, Comedy",action,4.7,51.0,18088,2020,12.0,6000,"['YaYa Gosselin', 'Pedro Pascal', 'Priyanka Chopra Jonas']",Robert Rodriguez,,
tt7713068,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,"Action, Comedy, Crime",action,6.1,60.0,272860,2020,2.0,6540,,,,
tt4566758,Mulan,"Action, Adventure, Drama",action,5.8,66.0,163098,2020,9.0,6900,,,,
tt4682266,The New Mutants,"Action, Horror, Mystery",action,5.3,43.0,95588,2020,8.0,5640,,,,
tt8936646,Extraction,"Action, Crime, Thriller",action,6.8,56.0,276045,2020,4.0,6960,"['Chris Hemsworth', 'Bryon Lerum', 'Ryder Lerum']",Sam Hargrave,"$65,000,000 (estimated)",
tt1502397,Bad Boys for Life,"Action, Comedy, Crime",action,6.5,59.0,189359,2020,1.0,7440,"['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens']",Adil El Arbi,"$90,000,000 (estimated)","$426,505,244"
tt2222042,Love and Monsters,"Action, Adventure, Comedy",action,6.9,63.0,151811,2020,10.0,6540,,,,
