imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt1259528,Den of Thieves,"Action, Crime, Drama",action,7.0,49.0,138676,2018,1.0,8400.0,"['Gerard Butler', 'Pablo Schreiber', ""O'Shea Jackson Jr.""]",Christian Gudegast,"$30,000,000 (estimated)","$80,509,622"
tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi",action,8.4,68.0,1273645,2018,4.0,8940.0,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",Anthony Russo,"$321,000,000 (estimated)","$2,052,415,039"
tt5052474,Sicario: Day of the Soldado,"Action, Crime, Drama",action,7.1,61.0,177513,2018,6.0,7320.0,"['Benicio Del Toro', 'Josh Brolin', 'Isabela Merced']",Stefano Sollima,"$35,000,000 (estimated)","$75,837,743"
tt1677720,Ready Player One,"Action, Adventure, Sci-Fi",action,7.4,64.0,512549,2018,3.0,8400.0,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn']",Steven Spielberg,"$175,000,000 (estimated)","$607,874,422"
tt1825683,Black Panther,"Action, Adventure, Sci-Fi",action,7.3,88.0,867724,2018,2.0,8040.0,,,,
tt1270797,Venom,"Action, Adventure, Sci-Fi",action,6.6,35.0,572687,2018,10.0,6720.0,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed']",Ruben Fleischer,"$100,000,000 (estimated)","$856,085,161"
tt4633694,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",action,8.4,87.0,721397,2018,12.0,7020.0,,,,
tt5164214,Ocean's Eight,"Action, Comedy, Crime",action,6.3,61.0,250916,2018,6.0,6600.0,"['Sandra Bullock', 'Cate Blanchett', 'Anne Hathaway']",Gary Ross,"$70,000,000 (estimated)","$297,795,726"
tt5463162,Deadpool 2,"Action, Adventure, Comedy",action,7.6,66.0,706809,2018,5.0,7140.0,,,,
tt6017942,Kin,"Action, Drama, Sci-Fi",action,5.8,35.0,19412,2018,8.0,6120.0,"['Myles Truitt', 'Jack Reynor', 'Dennis Quaid']",Jonathan Baker,"$30,000,000 (estimated)","$10,313,019"
tt4779682,The Meg,"Action, Horror, Sci-Fi",action,5.7,46.0,216710,2018,8.0,6780.0,"['Jason Statham', 'Bingbing Li', 'Rainn Wilson']",Jon Turteltaub,"$130,000,000 (estimated)","$529,338,515"
tt4881806,Jurassic World: Fallen Kingdom,"Action, Adventure, Sci-Fi",action,6.1,51.0,357860,2018,6.0,7680.0,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']",J.A. Bayona,"$170,000,000 (estimated)","$1,310,469,037"
tt6499752,Upgrade,"Action, Sci-Fi, Thriller",action,7.5,67.0,220648,2018,6.0,6000.0,,,,
tt4912910,Mission: Impossible - Fallout,"Action, Adventure, Thriller",action,7.7,87.0,392470,2018,7.0,8820.0,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames']",Christopher McQuarrie,"$178,000,000 (estimated)","$791,658,205"
tt3606756,Incredibles 2,"Animation, Action, Adventure",action,7.5,80.0,348576,2018,6.0,7080.0,,,,
tt6998518,Mandy,"Action, Fantasy, Horror",action,6.5,83.0,94811,2018,9.0,7260.0,"['Nicolas Cage', 'Andrea Riseborough', 'Linus Roache']",Panos Cosmatos,"$6,000,000 (estimated)","$1,764,971"
tt3829266,The Predator,"Action, Adventure, Sci-Fi",action,5.3,48.0,152841,2018,9.0,6420.0,,,,
