imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt3397884,Sicario,"Action, Crime, Drama",action,7.7,82.0,503995,2015,10.0,7260.0,"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro']",Denis Villeneuve,"$30,000,000 (estimated)","$84,997,446"
tt1392190,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",action,8.1,90.0,1157700,2015,5.0,7200.0,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult']",George Miller,"$150,000,000 (estimated)","$380,437,267"
tt2120120,Pixels,"Action, Comedy, Fantasy",action,5.6,27.0,168481,2015,7.0,6300.0,"['Adam Sandler', 'Kevin James', 'Michelle Monaghan']",Chris Columbus,"$88,000,000 (estimated)","$244,874,809"
tt0369610,Jurassic World,"Action, Adventure, Sci-Fi",action,6.9,59.0,698534,2015,6.0,7440.0,"['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']",Colin Trevorrow,"$150,000,000 (estimated)","$1,671,537,444"
tt2395427,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",action,7.3,66.0,953884,2015,5.0,8460.0,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",Joss Whedon,"$250,000,000 (estimated)","$1,405,018,048"
tt3079380,Spy,"Action, Comedy",action,7.0,75.0,266678,2015,6.0,7200.0,,,,
tt1340138,Terminator Genisys,"Action, Adventure, Sci-Fi",action,6.3,38.0,299154,2015,7.0,7560.0,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke']",Alan Taylor,"$155,000,000 (estimated)","$440,603,537"
tt2488496,Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",action,7.8,80.0,995072,2015,12.0,8280.0,,,,
tt1638355,The Man from U.N.C.L.E.,"Action, Adventure, Comedy",action,7.2,56.0,345342,2015,8.0,6960.0,,,,
tt2379713,Spectre,"Action, Adventure, Thriller",action,6.8,60.0,478770,2015,10.0,8880.0,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",Sam Mendes,"$245,000,000 (estimated)","$880,707,597"
tt1502712,Fantastic Four,"Action, Adventure, Sci-Fi",action,4.3,27.0,182075,2015,8.0,6000.0,"['Miles Teller', 'Kate Mara', 'Michael B. Jordan']",Josh Trank,"$120,000,000 (estimated)","$167,882,881"
tt0478970,Ant-Man,"Action, Comedy, Sci-Fi",action,7.2,64.0,746096,2015,7.0,7020.0,,,,
tt1964418,Tomorrowland,"Action, Adventure, Family",action,6.4,60.0,195157,2015,5.0,7800.0,"['George Clooney', 'Britt Robertson', 'Hugh Laurie']",Brad Bird,"$190,000,000 (estimated)","$209,035,668"
tt2126355,San Andreas,"Action, Adventure, Thriller",action,6.1,43.0,265751,2015,5.0,6840.0,"['Dwayne Johnson', 'Carla Gugino', 'Alexandra Daddario']",Brad Peyton,"$110,000,000 (estimated)","$474,609,154"
tt2820852,Fast & Furious 7,"Action, Thriller",action,7.1,67.0,425201,2015,4.0,8220.0,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']",James Wan,"$190,000,000 (estimated)","$1,515,342,457"
tt1617661,Jupiter Ascending,"Action, Adventure, Sci-Fi",action,5.3,40.0,197872,2015,2.0,7620.0,"['Channing Tatum', 'Mila Kunis', 'Eddie Redmayne']",Lana Wachowski,"$176,000,000 (estimated)","$184,287,723"
tt1951266,The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",action,6.6,65.0,390477,2015,11.0,8220.0,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Francis Lawrence,"$160,000,000 (estimated)","$661,456,867"
tt2381249,Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",action,7.4,75.0,422934,2015,7.0,7860.0,"['Tom Cruise', 'Rebecca Ferguson', 'Jeremy Renner']",Christopher McQuarrie,"$150,000,000 (estimated)","$682,716,636"
tt1781922,No Escape,"Action, Thriller",action,6.7,38.0,95986,2015,8.0,6180.0,,,,
tt3076658,Creed,"Action, Drama, Sport",action,7.6,82.0,319722,2015,11.0,7980.0,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson']",Ryan Coogler,"$35,000,000 (estimated)","$174,178,883"
tt1798684,Southpaw,"Action, Drama, Sport",action,7.3,57.0,267420,2015,7.0,7440.0,"['Jake Gyllenhaal', 'Rachel McAdams', 'Oona Laurence']",Antoine Fuqua,"$30,000,000 (estimated)","$91,970,827"
tt1390411,In the Heart of the Sea,"Action, Adventure, Biography",action,6.9,47.0,154555,2015,12.0,7320.0,"['Chris Hemsworth', 'Cillian Murphy', 'Brendan Gleeson']",Ron Howard,"$100,000,000 (estimated)","$94,320,758"
tt1727776,Scouts Guide to the Zombie Apocalypse,"Action, Comedy, Horror",action,6.3,32.0,57747,2015,10.0,5580.0,"['Tye Sheridan', 'Logan Miller', 'Joey Morgan']",Christopher Landon,"$15,000,000 (estimated)","$16,137,046"
tt1618442,The Last Witch Hunter,"Action, Adventure, Fantasy",action,5.9,34.0,112554,2015,10.0,6360.0,,,,
tt2908446,Insurgent,"Action, Adventure, Sci-Fi",action,6.2,42.0,262931,2015,3.0,7140.0,,,,
tt2479478,The Ridiculous 6,"Action, Adventure, Comedy",action,4.9,18.0,55589,2015,12.0,7140.0,,,,
tt2199571,Run All Night,"Action, Crime, Thriller",action,6.6,59.0,117723,2015,3.0,6840.0,,,,
tt1823672,Chappie,"Action, Crime, Drama",action,6.8,41.0,276655,2015,3.0,7200.0,"['Sharlto Copley', 'Dev Patel', 'Hugh Jackman']",Neill Blomkamp,"$49,000,000 (estimated)","$102,811,889"
tt2679042,Hitman: Agent 47,"Action, Adventure, Crime",action,5.7,28.0,98735,2015,8.0,5760.0,"['Rupert Friend', 'Hannah Ware', 'Zachary Quinto']",Aleksander Bach,"$35,000,000 (estimated)","$82,347,656"
tt4046784,Maze Runner: The Scorch Trials,"Action, Adventure, Sci-Fi",action,6.3,43.0,290287,2015,9.0,7860.0,"[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster']",Wes Ball,"$61,000,000 (estimated)","$312,296,056"
tt1979388,The Good Dinosaur,"Animation, Action, Adventure",action,6.7,66.0,132980,2015,11.0,5580.0,"['Jeffrey Wright', 'Frances McDormand', 'Maleah Nipay-Padilla']",Peter Sohn,"$200,000,000 (estimated)","$332,207,671"
tt3072482,Hardcore Henry,"Action, Adventure, Sci-Fi",action,6.7,51.0,105098,2015,4.0,5760.0,"['Sharlto Copley', 'Tim Roth', 'Haley Bennett']",Ilya Naishuller,"$2,000,000 (estimated)","$16,810,562"
tt3467412,Extinction,"Action, Adventure, Drama",action,5.8,46.0,18791,2015,7.0,6720.0,"['Matthew Fox', 'Jeffrey Donovan', 'Quinn McColgan']",Miguel Ángel Vivas,"€7,000,000 (estimated)","$2,350,695"
tt2058673,Point Break,"Action, Adventure, Crime",action,5.3,34.0,67573,2015,12.0,6840.0,,,,
tt2231253,Wild Card,"Action, Crime, Drama",action,5.6,40.0,62044,2015,1.0,5520.0,"['Jason Statham', 'Michael Angarano', 'Dominik Garcia']",Simon West,"$30,000,000 (estimated)","$6,738,764"
tt2186848,Landmine Goes Click,"Action, Crime, Drama",action,5.8,35.0,6875,2015,6.0,6300.0,"['Sterling Knight', 'Spencer Locke', 'Kote Tolordava']",Levan Bakhia,"$1,000,000 (estimated)",
tt2072230,Shingeki no kyojin,"Action, Adventure, Drama",action,5.0,,15950,2015,8.0,5880.0,"['Haruma Miura', 'Kiko Mizuhara', 'Kanata Hongô']",Shinji Higuchi,,"$30,810,658"
tt2091935,Mr. Right,"Action, Comedy, Crime",action,6.3,52.0,63461,2015,4.0,5700.0,,,,
tt2057392,Eye in the Sky,"Action, Drama, Thriller",action,7.3,73.0,93805,2015,4.0,6120.0,"['Helen Mirren', 'Aaron Paul', 'Alan Rickman']",Gavin Hood,"$13,000,000 (estimated)","$35,259,653"
tt2140379,Self/less,"Action, Mystery, Sci-Fi",action,6.5,34.0,105625,2015,7.0,7020.0,,,,
tt3316948,American Ultra,"Action, Comedy",action,6.1,50.0,98031,2015,8.0,5760.0,"['Jesse Eisenberg', 'Kristen Stewart', 'Connie Britton']",Nima Nourizadeh,"$28,000,000 (estimated)","$27,262,374"
tt3616916,Bølgen,"Action, Drama, Thriller",action,6.6,68.0,44603,2015,8.0,6300.0,,,,
tt2493486,Last Knights,"Action, Drama",action,6.2,27.0,46698,2015,4.0,6900.0,"['Clive Owen', 'Morgan Freeman', 'Aksel Hennie']",Kazuaki Kiriya,"$40,000,000 (estimated)","$1,797,955"
tt2393827,Howl,"Action, Fantasy, Horror",action,5.5,,16795,2015,10.0,5520.0,"['Elliot Cowan', 'Rosie Day', 'Calvin Dean']",Paul Hyett,"£1,600,000 (estimated)","$477,656"
tt2938956,The Transporter Refueled,"Action, Thriller",action,5.2,32.0,46180,2015,9.0,5760.0,"['Ed Skrein', 'Loan Chabanol', 'Ray Stevenson']",Camille Delamarre,"€24,926,736 (estimated)","$72,629,670"
tt3775086,Lo chiamavano Jeeg Robot,"Action, Comedy, Drama",action,7.0,,16785,2015,2.0,6720.0,,,,
tt3045616,Mortdecai,"Action, Adventure, Comedy",action,5.5,27.0,78332,2015,1.0,6420.0,,,,
