imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt1706620,Snowpiercer,"Action, Sci-Fi, Thriller",action,7.1,84.0,403998,2013,8.0,7560.0,,,,
tt1951264,The Hunger Games: Catching Fire,"Action, Adventure, Sci-Fi",action,7.5,76.0,743268,2013,11.0,8760.0,,,,
tt0816711,World War Z,"Action, Adventure, Horror",action,7.0,63.0,748476,2013,6.0,6960.0,"['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz']",Marc Forster,"$190,000,000 (estimated)","$540,455,876"
tt1894476,How I Live Now,"Action, Adventure, Drama",action,6.4,57.0,32635,2013,10.0,6060.0,,,,
tt0770828,Man of Steel,"Action, Adventure, Sci-Fi",action,7.1,55.0,830935,2013,6.0,8580.0,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",Zack Snyder,"$225,000,000 (estimated)","$670,145,518"
tt1663662,Pacific Rim,"Action, Adventure, Sci-Fi",action,6.9,65.0,543326,2013,7.0,7860.0,,,,
tt1483013,Oblivion,"Action, Adventure, Sci-Fi",action,7.0,54.0,568548,2013,4.0,7440.0,,,,
tt1300854,Iron Man Three,"Action, Adventure, Sci-Fi",action,7.1,62.0,926641,2013,5.0,7800.0,"['Robert Downey Jr.', 'Guy Pearce', 'Gwyneth Paltrow']",Shane Black,"$200,000,000 (estimated)","$1,266,152,644"
tt1321511,Oldboy,"Action, Drama, Mystery",action,5.8,49.0,82644,2013,11.0,6240.0,,,,
tt1535108,Elysium,"Action, Drama, Sci-Fi",action,6.6,61.0,480808,2013,8.0,6540.0,"['Matt Damon', 'Jodie Foster', 'Sharlto Copley']",Neill Blomkamp,"$115,000,000 (estimated)","$286,140,700"
tt1981115,Thor: The Dark World,"Action, Adventure, Fantasy",action,6.7,54.0,747681,2013,11.0,6720.0,,,,
tt1091191,Lone Survivor,"Action, Biography, Drama",action,7.5,60.0,314488,2013,1.0,7260.0,,,,
tt1408101,Star Trek Into Darkness,"Action, Adventure, Sci-Fi",action,7.7,72.0,503132,2013,5.0,7920.0,,,,
tt2312718,Homefront,"Action, Crime, Thriller",action,6.5,40.0,134978,2013,11.0,6000.0,,,,
tt1335975,47 Ronin,"Action, Drama, Fantasy",action,6.2,28.0,174915,2013,12.0,7680.0,,,,
tt2334879,White House Down,"Action, Drama, Thriller",action,6.3,52.0,242521,2013,6.0,7860.0,,,,
tt1535109,Captain Phillips,"Action, Biography, Crime",action,7.8,82.0,505880,2013,10.0,8040.0,,,,
tt1428538,Hansel & Gretel: Witch Hunters,"Action, Fantasy, Horror",action,6.1,23.0,221519,2013,1.0,5280.0,,,,
tt1411250,Riddick,"Action, Adventure, Sci-Fi",action,6.4,49.0,182077,2013,9.0,7140.0,,,,
tt1731141,Ender's Game,"Action, Adventure, Sci-Fi",action,6.6,51.0,259645,2013,11.0,6840.0,"['Harrison Ford', 'Asa Butterfield', 'Hailee Steinfeld']",Gavin Hood,"$110,000,000 (estimated)","$125,544,024"
tt1905041,Furious 6,"Action, Thriller",action,7.0,61.0,426898,2013,5.0,7800.0,,,,
tt1213663,The World's End,"Action, Comedy, Sci-Fi",action,6.9,81.0,305054,2013,7.0,6540.0,,,,
tt1430132,The Wolverine,"Action, Sci-Fi",action,6.7,61.0,509462,2013,7.0,7560.0,"['Hugh Jackman', 'Will Yun Lee', 'Tao Okamoto']",James Mangold,"$120,000,000 (estimated)","$414,828,246"
tt1538403,The Mortal Instruments: City of Bones,"Action, Adventure, Fantasy",action,5.8,33.0,140792,2013,8.0,7800.0,"['Lily Collins', 'Jamie Campbell Bower', 'Robert Sheehan']",Harald Zwart,"$60,000,000 (estimated)","$95,396,573"
tt1904996,Parker,"Action, Crime, Thriller",action,6.2,42.0,132431,2013,1.0,7080.0,,,,
tt1351685,Jack the Giant Slayer,"Action, Adventure, Fantasy",action,6.3,51.0,150461,2013,3.0,6840.0,,,,
tt2302755,Olympus Has Fallen,"Action, Thriller",action,6.5,41.0,299256,2013,3.0,7140.0,"['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman']",Antoine Fuqua,"$70,000,000 (estimated)","$170,270,201"
tt1650554,Kick-Ass 2,"Action, Comedy, Crime",action,6.5,41.0,294354,2013,8.0,6180.0,,,,
tt1211956,Escape Plan,"Action, Thriller",action,6.7,49.0,263990,2013,10.0,6900.0,,,,
tt1210819,The Lone Ranger,"Action, Adventure, Drama",action,6.4,37.0,248234,2013,7.0,9000.0,,,,
tt2404463,The Heat,"Action, Comedy, Crime",action,6.6,60.0,184538,2013,7.0,7020.0,,,,
tt1980209,Pain & Gain,"Action, Biography, Comedy",action,6.4,45.0,235295,2013,4.0,7740.0,,,,
tt1893256,Hummingbird,"Action, Crime, Drama",action,6.2,43.0,79341,2013,6.0,6000.0,,,,
tt1583421,G.I. Joe: Retaliation,"Action, Adventure, Sci-Fi",action,5.7,41.0,189681,2013,3.0,6600.0,,,,
tt1272878,2 Guns,"Action, Comedy, Thriller",action,6.7,55.0,231197,2013,8.0,6540.0,"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton']",Baltasar Kormákur,"$61,000,000 (estimated)","$131,940,411"
tt1549920,The Last Stand,"Action, Thriller, Western",action,6.3,54.0,147716,2013,1.0,6420.0,,,,
tt1450321,Filth,"Action, Comedy, Crime",action,7.0,56.0,118845,2013,10.0,5820.0,,,,
tt2193215,The Counselor,"Action, Adventure, Crime",action,5.4,48.0,107649,2013,10.0,7020.0,,,,
tt1606378,A Good Day to Die Hard,"Action, Thriller",action,5.2,28.0,218919,2013,2.0,5880.0,,,,
tt1821694,RED 2,"Action, Comedy, Crime",action,6.6,47.0,184656,2013,7.0,6960.0,,,,
tt1321870,Gangster Squad,"Action, Crime, Drama",action,6.7,40.0,225738,2013,1.0,6780.0,,,,
