imdb_id,movie_title,genres,each_genre,imdb_rating,metascore,vote_count,release_year,release_month,runtime,actors,director,budget,worldwide_gross
tt1392170,The Hunger Games,"Action, Adventure, Sci-Fi",action,7.2,68.0,1035378,2012,3.0,8520.0,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",Gary Ross,"$78,000,000 (estimated)","$695,220,619"
tt0790724,Jack Reacher,"Action, Thriller",action,7.0,50.0,377421,2012,12.0,7800.0,,,,
tt1345836,The Dark Knight Rises,"Action, Drama, Thriller",action,8.4,78.0,1900364,2012,7.0,9840.0,,,,
tt1232829,21 Jump Street,"Action, Comedy, Crime",action,7.2,69.0,619361,2012,3.0,6540.0,"['Jonah Hill', 'Channing Tatum', 'Ice Cube']",Phil Lord,"$42,000,000 (estimated)","$201,585,556"
tt0848228,The Avengers,"Action, Sci-Fi",action,8.0,69.0,1500129,2012,5.0,8580.0,,,,
tt1855199,End of Watch,"Action, Crime, Drama",action,7.6,68.0,279246,2012,9.0,6540.0,,,,
tt1409024,Men in Black³,"Action, Adventure, Comedy",action,6.8,58.0,398847,2012,5.0,6360.0,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",Barry Sonnenfeld,"$225,000,000 (estimated)","$654,213,485"
tt0948470,The Amazing Spider-Man,"Action, Sci-Fi",action,6.9,66.0,728274,2012,7.0,8160.0,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",Marc Webb,"$230,000,000 (estimated)","$758,707,722"
tt1074638,Skyfall,"Action, Adventure, Thriller",action,7.8,81.0,747911,2012,10.0,8580.0,"['Daniel Craig', 'Javier Bardem', 'Naomie Harris']",Sam Mendes,"$200,000,000 (estimated)","$1,108,594,137"
tt1343727,Dredd,"Action, Crime, Sci-Fi",action,7.1,60.0,303374,2012,9.0,5700.0,"['Karl Urban', 'Olivia Thirlby', 'Lena Headey']",Pete Travis,"$50,000,000 (estimated)","$41,037,742"
tt1217209,Brave,"Animation, Action, Adventure",action,7.1,69.0,459235,2012,6.0,5580.0,,,,
tt1735898,Snow White and the Huntsman,"Action, Adventure, Drama",action,6.1,57.0,308391,2012,5.0,7620.0,,,,
tt1440129,Battleship,"Action, Adventure, Sci-Fi",action,5.8,41.0,262449,2012,4.0,7860.0,,,,
tt1276104,Looper,"Action, Drama, Sci-Fi",action,7.4,84.0,615248,2012,9.0,7140.0,,,,
